Confed 348B

Sim Battle

Commander in federation: 15

Fd|Bt Group| 			x\y | Start Attack| Order | Additional ORder | Formation | Dest 1 | Dest 2


1	| 	-  	| 	11/9	| 0	| 	33 	|	-	| 	2	| 11/9
2	| 	-  	| 	12/9	| 0	| 	33 	|	-	| 	2	| 12/9
3	| 	-  	| 	13/9	| 0	| 	33 	|	-	| 	2	| 13/9
4	| 	-  	| 	14/9	| 0	| 	33 	|	-	| 	2	| 14/9
5	| 	-  	| 	15/9	| 0	| 	33 	|	-	| 	2	| 15/9
6	| 	-  	| 	16/9	| 0	| 	33 	|	-	| 	2	| 16/9
7	| 	-  	| 	17/9	| 0	| 	33 	|	-	| 	2	| 17/9
8	| 	-  	| 	18/9	| 0	| 	33 	|	-	| 	2	| 18/9
9	| 	-  	| 	19/9	| 0	| 	33 	|	-	| 	2	| 19/9
10	| 	-  	| 	20/9	| 0	| 	33 	|	-	| 	2	| 20/9
11	| 	-  	| 	21/9	| 0	| 	33 	|	-	| 	2	| 21/9
12	| 	-  	| 	22/9	| 0	| 	33 	|	-	| 	2	| 22/9
13	| 	-  	| 	23/9	| 0	| 	33 	|	-	| 	2	| 23/9
14	| 	-  	| 	24/9	| 0	| 	33 	|	-	| 	2	| 24/9
15	| 	-  	| 	25/9	| 0	| 	33 	|	-	| 	2	| 25/9
16	| 	-  	| 	26/9	| 0	| 	33 	|	-	| 	2	| 26/9
17	| 	-  	| 	27/9	| 0	| 	33 	|	-	| 	2	| 27/9
18	| 	-  	| 	28/9	| 0	| 	33 	|	-	| 	2	| 28/9
19	| 	-  	| 	29/9	| 0	| 	33 	|	-	| 	2	| 29/9
20	| 	-  	| 	30/9	| 0	| 	33 	|	-	| 	2	| 30/9
21	| 	-  	| 	31/9	| 0	| 	33 	|	-	| 	2	| 31/9
22	| 	-  	| 	32/9	| 0	| 	33 	|	-	| 	2	| 32/9
23	| 	-  	| 	33/9	| 0	| 	33 	|	-	| 	2	| 33/9
24	| 	-  	| 	34/9	| 0	| 	33 	|	-	| 	2	| 34/9
25	| 	-  	| 	35/9	| 0	| 	33 	|	-	| 	2	| 35/9

26	| 	-  	| 	11/8	| 0	| 	33 	|	-	| 	2	| 11/8
27	| 	-  	| 	12/8	| 0	| 	33 	|	-	| 	2	| 12/8
28	| 	-  	| 	13/8	| 0	| 	33 	|	-	| 	2	| 13/8
29	| 	-  	| 	14/8	| 0	| 	33 	|	-	| 	2	| 14/8
30	| 	-  	| 	15/8	| 0	| 	33 	|	-	| 	2	| 15/8
31	| 	-  	| 	16/8	| 0	| 	33 	|	-	| 	2	| 16/8
32	| 	-  	| 	17/8	| 0	| 	33 	|	-	| 	2	| 17/8
33	| 	-  	| 	18/8	| 0	| 	33 	|	-	| 	2	| 18/8
34	| 	-  	| 	19/8	| 0	| 	33 	|	-	| 	2	| 19/8
35	| 	-  	| 	20/8	| 0	| 	33 	|	-	| 	2	| 20/8
36	| 	-  	| 	21/8	| 0	| 	33 	|	-	| 	2	| 21/8
37	| 	-  	| 	22/8	| 0	| 	33 	|	-	| 	2	| 22/8
38	| 	-  	| 	23/8	| 0	| 	33 	|	-	| 	2	| 23/8
39	| 	-  	| 	24/8	| 0	| 	33 	|	-	| 	2	| 24/8
40	| 	-  	| 	25/8	| 0	| 	33 	|	-	| 	2	| 25/8
41	| 	-  	| 	26/8	| 0	| 	33 	|	-	| 	2	| 26/8
42	| 	-  	| 	27/8	| 0	| 	33 	|	-	| 	2	| 27/8
43	| 	-  	| 	28/8	| 0	| 	33 	|	-	| 	2	| 28/8
44	| 	-  	| 	29/8	| 0	| 	33 	|	-	| 	2	| 29/8
45	| 	-  	| 	30/8	| 0	| 	33 	|	-	| 	2	| 30/8
46	| 	-  	| 	31/8	| 0	| 	33 	|	-	| 	2	| 31/8
47	| 	-  	| 	32/8	| 0	| 	33 	|	-	| 	2	| 32/8
48	| 	-  	| 	33/8	| 0	| 	33 	|	-	| 	2	| 33/8
49	| 	-  	| 	34/8	| 0	| 	33 	|	-	| 	2	| 34/8
50	| 	-  	| 	35/8	| 0	| 	33 	|	-	| 	2	| 35/8
51	| 	-  	| 	11/7	| 0	| 	33 	|	-	| 	2	| 11/7
52	| 	-  	| 	11/6	| 0	| 	33 	|	-	| 	2	| 12/6
53	| 	-  	| 	11/5	| 0	| 	33 	|	-	| 	2	| 13/5
54	| 	-  	| 	11/4	| 0	| 	33 	|	-	| 	2	| 14/4
55	| 	-  	| 	11/3	| 0	| 	33 	|	-	| 	2	| 15/3
56	| 	-  	| 	11/2	| 0	| 	33 	|	-	| 	2	| 16/2

