"ItemNo","State","Name","ShortName","Cost","EcPtsPer25","EF","HC","LR","RG","SimMP","MP","Formation","Allow_Co","Allow_Li","Allow_Sk","Allow_Sq","IsColonial","TroopSpecification","IsCavalry"
"1","A","Fusilier","Fu","100","4","6","4","2","6","6","28","Co,Li, Sq","True","False","False","False","False","","False"
"1","B","Fusilier","Fu","100","4","7","4","2","6","6","32","Co,Li, Sq","True","False","False","False","False","","False"
"1","D","Grenadier","GR","150","5","8","6","3","6","6","28","Co,Li, Sq","True","False","False","False","False","","False"
"1","E","Grenadier","GR","160","5","8","5","3","6","6","28","Co,Li, Sq","True","False","False","False","False","","False"
"1","F","Line Infantry","Ln","100","4","7","3","2","6","8","32","Co,Li, Sq","True","False","False","False","False","","False"
"1","G","Bearskin","Be","160","5","8","5","3","6","6","26","Co,Li, Sq","True","False","False","False","False","","False"
"1","H","Fusilier","Fu","100","4","7","4","2","6","6","32","Co,Li, Sq","True","False","False","False","False","","False"
"1","I","Fusilier","Fu","100","4","7","4","2","6","6","32","Co,Li, Sq","True","False","False","False","False","","False"
"1","K","Grenadier","GR","160","5","8","5","3","6","6","26","Co,Li, Sq","True","False","False","False","False","","False"
"1","M","Nomads","No","50","2","5","2","1","6","8","32","Co","True","False","False","False","False","","False"
"1","N","Grenadier","GR","160","5","8","5","3","6","6","28","Co,Li, Sq","True","False","False","False","False","","False"
"1","P","Fusilier","Fu","100","4","7","5","2","6","6","28","Co,Li, Sq","True","False","False","False","False","","False"
"1","R","Grenadier","GR","150","5","8","6","3","6","6","24","Co,Li, Sq","True","False","False","False","False","","False"
"1","S","Grenadier","GR","150","5","8","6","3","6","6","28","Co,Li, Sq","True","False","False","False","False","","False"
"1","T","Palace Guard","PG","200","6","7","4","3","6","8","24","Co,Li, Sq","True","False","False","False","False","","False"
"1","W","Fusilier","Fu","100","4","6","4","2","6","6","32","Co,Li, Sq","True","False","False","False","False","","False"
"2","F","Old Garde","Og","300","10","10","7","4","6","6","32","Co,Li, Sq","True","False","False","False","False","","False"
"2","G","Footguard","Fg","300","9","10","6","4","6","6","26","Co,Li, Sq","True","False","False","False","False","","False"
"2","P","Avantgarde","Av","250","10","10","7","4","6","6","28","Co,Li, Sq","True","False","False","False","False","","False"
"2","R","Garde Grenadiers","Gg","300","10","10","7","4","6","6","24","Co,Li, Sq","True","False","False","False","False","","False"
"3","A","Grenadier","GR","140","5","8","6","3","6","6","28","Co,Li, Sq","True","False","False","False","False","","False"
"3","B","Grenadier","GR","140","5","8","6","3","6","6","32","Co,Li, Sq","True","False","False","False","False","","False"
"3","D","Line Infantry","Ln","100","4","7","4","2","6","6","28","Co,Li, Sq","True","False","False","False","False","","False"
"3","E","Light Infantry","Li","100","4","6","3","2","8","8","28","Co,Li,Sk","True","False","False","False","False","","False"
"3","F","Grenadier","GR","140","5","8","6","3","6","6","32","Co,Li, Sq","True","False","False","False","False","","False"
"3","G","Highlander","Hi","130","4","7","5","3","8","8","32","Co,Li,Sk","True","False","False","False","False","","False"
"3","H","Grenadier","GR","160","5","8","6","3","6","6","32","Co,Li, Sq","True","False","False","False","False","","False"
"3","I","Grenadier","GR","160","5","8","6","3","6","6","32","Co,Li, Sq","True","False","False","False","False","","False"
