"X","Y","Owner","Terrain","Bonus"
"1","1"," ","."," "
"1","2"," ","."," "
"1","3"," ","."," "
"1","4"," ","."," "
"1","5"," ","."," "
"1","6"," ","."," "
"1","7"," ","."," "
"1","8"," ","."," "
"1","9"," ","."," "
"1","10"," ","."," "
"1","11"," ","."," "
"1","12"," ","."," "
"1","13"," ","."," "
"1","14"," ","."," "
"1","15"," ","."," "
"1","16"," ","."," "
"1","17"," ","."," "
"1","18"," ","."," "
"1","19"," ","."," "
"1","20"," ","."," "
"1","21"," ","."," "
"1","22"," ","."," "
"1","23"," ","."," "
"1","24"," ","."," "
"1","25"," ","."," "
"1","26"," ","."," "
"1","27"," ","."," "
"1","28"," ","."," "
"1","29"," ","."," "
"1","30"," ","."," "
"1","31"," ","."," "
"1","32"," ","."," "
"1","33"," ","."," "
"1","34"," ","."," "
"1","35"," ","."," "
"1","36"," ","."," "
"1","37"," ","."," "
"1","38"," ","."," "
"1","39"," ","."," "
"1","40"," ","."," "
"1","41"," ","."," "
"1","42"," ","."," "
"1","43"," ","."," "
"1","44"," ","."," "
"1","45"," ","."," "
"1","46"," ","."," "
"1","47"," ","."," "
"1","48"," ","."," "
"1","49"," ","."," "
"1","50"," ","."," "
"1","51"," ","."," "
"1","52"," ","."," "
"1","53"," ","."," "
"1","54"," ","."," "
"1","55"," ","."," "
"1","56"," ","."," "
"1","57"," ","."," "
"1","58"," ","."," "
"1","59"," ","*"," "
"1","60","M","G"," "
"1","61","M","G"," "
"1","62","M","W"," "
"1","63","M","K"," "
"1","64","m","G"," "
"1","65","m","K"," "
"1","70","?","G"," "
"1","71","?","G"," "
"1","72","?","D"," "
"1","73","?","D"," "
"1","74","?","B"," "
"1","75","?","W"," "
"1","76","?","B"," "
"1","77","?","G"," "
"1","78","?","H"," "
"1","79","?","H"," "
"1","80","?","W"," "
"1","81","?","G","z"
"1","82","?","G"," "
"1","83","?","B"," "
"1","84","?","H"," "
"1","85"," ","*"," "
"1","86"," ","."," "
"1","87"," ","."," "
"1","88"," ","."," "
"1","89"," ","."," "
"1","90"," ","."," "
"1","91"," ","."," "
"1","92"," ","."," "
"1","93"," ","."," "
"1","94"," ","."," "
"1","95"," ","."," "
"1","96"," ","."," "
"1","97"," ","."," "
"1","98"," ","."," "
"1","99"," ","."," "
"2","1"," ","."," "
"2","2"," ","."," "
"2","3"," ","."," "
"2","4"," ","."," "
"2","5"," ","."," "
"2","6"," ","."," "
"2","7"," ","."," "
"2","8"," ","."," "
"2","9"," ","."," "
"2","10"," ","."," "
"2","11"," ","."," "
"2","12"," ","."," "
"2","13"," ","."," "
"2","14"," ","."," "
"2","15"," ","."," "
"2","16"," ","."," "
"2","17"," ","."," "
"2","18"," ","."," "
"2","19"," ","."," "
"2","20"," ","."," "
"2","21"," ","."," "
"2","22"," ","."," "
"2","23"," ","."," "
"2","24"," ","."," "
"2","25"," ","."," "
"2","26"," ","."," "
"2","27"," ","."," "
"2","28"," ","."," "
"2","29"," ","."," "
"2","30"," ","."," "
"2","31"," ","."," "
"2","32"," ","."," "
"2","33"," ","."," "
"2","34"," ","."," "
"2","35"," ","."," "
"2","36"," ","."," "
"2","37"," ","."," "
"2","38"," ","."," "
"2","39"," ","."," "
"2","40"," ","."," "
"2","41"," ","."," "
"2","42"," ","."," "
"2","43"," ","."," "
"2","44"," ","."," "
"2","45"," ","."," "
"2","46"," ","."," "
"2","47"," ","."," "
"2","48"," ","."," "
"2","49"," ","."," "
"2","50"," ","."," "
"2","51"," ","."," "
"2","52"," ","."," "
"2","53"," ","."," "
"2","54"," ","."," "
"2","55"," ","."," "
"2","56"," ","."," "
"2","57"," ","*"," "
"2","58"," ","*"," "
"2","59","M","B"," "
"2","60","M","G"," "
"2","61","M","G"," "
"2","62","M","K"," "
"2","63","M","K"," "
"2","64","m","G"," "
"2","65","m","K"," "
"2","70","?","H"," "
"2","71","?","D"," "
"2","72","?","D"," "
"2","73","?","D"," "
"2","74","?","B"," "
"2","75","?","W"," "
"2","76","?","B","n"
"2","77","?","G","e"
"2","78","?","H"," "
"2","79","?","H"," "
"2","80","?","W"," "
"2","81","?","G"," "
"2","82","?","G"," "
"2","83","?","B"," "
"2","84","?","H"," "
"2","85"," ","*"," "
"2","86"," ","."," "
"2","87"," ","."," "
"2","88"," ","."," "
"2","89"," ","."," "
"2","90"," ","."," "
"2","91"," ","."," "
"2","92"," ","."," "
"2","93"," ","."," "
"2","94"," ","."," "
"2","95"," ","."," "
"2","96"," ","."," "
"2","97"," ","."," "
"2","98"," ","."," "
"2","99"," ","."," "
"3","1"," ","."," "
"3","2"," ","."," "
"3","3"," ","."," "
"3","4"," ","."," "
"3","5"," ","."," "
"3","6"," ","."," "
"3","7"," ","."," "
"3","8"," ","."," "
"3","9"," ","."," "
"3","10"," ","."," "
"3","11"," ","."," "
"3","12"," ","."," "
"3","13"," ","."," "
"3","14"," ","."," "
"3","15"," ","."," "
"3","16"," ","."," "
"3","17"," ","."," "
"3","18"," ","."," "
"3","19"," ","."," "
"3","20"," ","."," "
"3","21"," ","."," "
"3","22"," ","."," "
"3","23"," ","."," "
"3","24"," ","."," "
"3","25"," ","."," "
"3","26"," ","."," "
"3","27"," ","."," "
"3","28"," ","."," "
"3","29"," ","."," "
"3","30"," ","."," "
"3","31"," ","."," "
"3","32"," ","."," "
"3","33"," ","."," "
"3","34"," ","."," "
"3","35"," ","."," "
"3","36"," ","."," "
"3","37"," ","."," "
"3","38"," ","."," "
"3","39"," ","."," "
"3","40"," ","."," "
"3","41"," ","."," "
"3","42"," ","."," "
"3","43"," ","."," "
"3","44"," ","."," "
"3","45"," ","."," "
"3","46"," ","."," "
"3","47"," ","."," "
"3","48"," ","."," "
"3","49"," ","."," "
"3","50"," ","."," "
"3","51"," ","*"," "
"3","52"," ","*"," "
"3","53"," ","*"," "
"3","54"," ","."," "
"3","55"," ","."," "
"3","56"," ","*"," "
"3","57","M","H","w"
"3","58","M","B","n"
"3","59","M","B","n"
"3","60","M","G"," "
"3","61","M","G"," "
"3","62","M","W"," "
"3","63","m","K"," "
"3","64","m","G"," "
"3","65","m","K"," "
"3","70","?","D"," "
"3","71","?","D"," "
"3","72","?","D"," "
"3","73","?","D"," "
"3","74","?","W"," "
"3","75","?","W"," "
"3","76","?","B"," "
"3","77","?","G"," "
"3","78","?","H"," "
"3","79","?","H"," "
"3","80","?","W"," "
"3","81","?","G"," "
"3","82","?","G"," "
"3","83","?","B"," "
"3","84","?","W"," "
"3","85"," ","*"," "
"3","86"," ","*"," "
"3","87"," ","."," "
"3","88"," ","."," "
"3","89"," ","."," "
"3","90"," ","."," "
"3","91"," ","."," "
"3","92"," ","."," "
"3","93"," ","."," "
"3","94"," ","."," "
"3","95"," ","."," "
"3","96"," ","."," "
"3","97"," ","."," "
"3","98"," ","."," "
"3","99"," ","."," "
"4","1"," ","."," "
"4","2"," ","."," "
"4","3"," ","."," "
"4","4"," ","."," "
"4","5"," ","."," "
"4","6"," ","."," "
"4","7"," ","."," "
"4","8"," ","."," "
"4","9"," ","."," "
"4","10"," ","."," "
"4","11"," ","."," "
"4","12"," ","."," "
"4","13"," ","."," "
"4","14"," ","."," "
"4","15"," ","."," "
"4","16"," ","."," "
"4","17"," ","."," "
"4","18"," ","."," "
"4","19"," ","."," "
"4","20"," ","."," "
"4","21"," ","."," "
"4","22"," ","."," "
"4","23"," ","."," "
"4","24"," ","."," "
"4","25"," ","."," "
"4","26"," ","."," "
"4","27"," ","."," "
"4","28"," ","."," "
"4","29"," ","."," "
"4","30"," ","."," "
"4","31"," ","."," "
"4","32"," ","."," "
"4","33"," ","."," "
"4","34"," ","."," "
"4","35"," ","."," "
"4","36"," ","."," "
"4","37"," ","."," "
"4","38"," ","."," "
"4","39"," ","*"," "
"4","40"," ","*"," "
"4","41"," ","*"," "
"4","42"," ","*"," "
"4","43"," ","*"," "
"4","44"," ","."," "
"4","45"," ","."," "
"4","46"," ","."," "
"4","47"," ","."," "
"4","48"," ","."," "
"4","49"," ","."," "
"4","50"," ","*"," "
"4","51","M","B"," "
"4","52","M","B"," "
"4","53","M","B"," "
"4","54"," ","*"," "
"4","55"," ","*"," "
"4","56","M","B"," "
"4","57","M","B"," "
"4","58","M","G"," "
"4","59","M","G"," "
"4","60","M","G"," "
"4","61","M","K"," "
"4","62","M","K"," "
"4","63","m","G"," "
"4","64","m","K"," "
"4","65","m","K"," "
"4","70","?","G","e"
"4","71","?","G"," "
"4","72","?","G"," "
"4","73","?","D"," "
"4","74","?","G"," "
"4","75","?","B"," "
"4","76","?","H"," "
"4","77","?","W"," "
"4","78","?","G"," "
"4","79","?","W"," "
"4","80","?","H"," "
"4","81","?","H"," "
"4","82","?","B"," "
"4","83","?","G"," "
"4","84","?","H"," "
"4","85","?","B"," "
"4","86","?","H"," "
"4","87"," ","*"," "
"4","88"," ","."," "
"4","89"," ","."," "
"4","90"," ","."," "
"4","91"," ","."," "
"4","92"," ","."," "
"4","93"," ","."," "
"4","94"," ","."," "
"4","95"," ","."," "
"4","96"," ","."," "
"4","97"," ","."," "
"4","98"," ","."," "
"4","99"," ","."," "
"5","1"," ","."," "
"5","2"," ","."," "
"5","3"," ","."," "
"5","4"," ","."," "
"5","5"," ","."," "
"5","6"," ","."," "
"5","7"," ","."," "
"5","8"," ","."," "
"5","9"," ","."," "
"5","10"," ","."," "
"5","11"," ","."," "
"5","12"," ","."," "
"5","13"," ","."," "
"5","14"," ","."," "
"5","15"," ","."," "
"5","16"," ","."," "
"5","17"," ","."," "
"5","18"," ","."," "
"5","19"," ","."," "
"5","20"," ","."," "
"5","21"," ","."," "
"5","22"," ","."," "
"5","23"," ","."," "
"5","24"," ","."," "
"5","25"," ","."," "
"5","26"," ","."," "
"5","27"," ","."," "
"5","28"," ","."," "
"5","29"," ","."," "
"5","30"," ","."," "
"5","31"," ","."," "
"5","32"," ","."," "
"5","33"," ","."," "
"5","34"," ","."," "
"5","35"," ","."," "
"5","36"," ","*"," "
"5","37"," ","*"," "
"5","38"," ","*"," "
"5","39","K","B"," "
"5","40","K","B"," "
"5","41","K","B"," "
"5","42","K","B"," "
"5","43","K","B","n"
"5","44"," ","*"," "
"5","45"," ","."," "
"5","46"," ","."," "
"5","47"," ","."," "
"5","48"," ","."," "
"5","49"," ","*"," "
"5","50","M","B"," "
"5","51","M","H","v"
"5","52","M","B"," "
"5","53","M","H"," "
"5","54","M","B"," "
"5","55","M","B"," "
"5","56","M","H"," "
"5","57","M","K"," "
"5","58","M","G"," "
"5","59","M","G"," "
"5","60","M","W"," "
"5","61","M","W"," "
"5","62","M","G"," "
"5","63","m","H"," "
"5","64","m","K"," "
"5","65","m","K"," "
"5","70","?","W"," "
"5","71","?","W"," "
"5","72","?","W"," "
"5","73","?","G"," "
"5","74","?","W"," "
"5","75","?","H"," "
"5","76","?","W"," "
"5","77","?","H"," "
"5","78","?","B"," "
"5","79","?","B"," "
"5","80","?","B"," "
"5","81","?","W"," "
"5","82","?","H"," "
"5","83","?","B"," "
"5","84","?","G"," "
"5","85","?","H"," "
"5","86","?","B"," "
"5","87"," ","*"," "
"5","88"," ","."," "
"5","89"," ","."," "
"5","90"," ","."," "
"5","91"," ","."," "
"5","92"," ","."," "
"5","93"," ","."," "
"5","94"," ","."," "
"5","95"," ","."," "
"5","96"," ","."," "
"5","97"," ","."," "
"5","98"," ","."," "
"5","99"," ","."," "
"6","1"," ","."," "
"6","2"," ","."," "
"6","3"," ","."," "
"6","4"," ","."," "
"6","5"," ","."," "
"6","6"," ","."," "
"6","7"," ","."," "
"6","8"," ","."," "
"6","9"," ","."," "
"6","10"," ","."," "
"6","11"," ","."," "
"6","12"," ","."," "
"6","13"," ","."," "
"6","14"," ","."," "
"6","15"," ","."," "
"6","16"," ","."," "
"6","17"," ","."," "
"6","18"," ","."," "
"6","19"," ","."," "
"6","20"," ","."," "
"6","21"," ","."," "
"6","22"," ","."," "
"6","23"," ","."," "
"6","24"," ","."," "
"6","25"," ","."," "
"6","26"," ","."," "
"6","27"," ","."," "
"6","28"," ","."," "
"6","29"," ","."," "
"6","30"," ","."," "
"6","31"," ","."," "
"6","32"," ","."," "
"6","33"," ","."," "
"6","34"," ","*"," "
"6","35"," ","*"," "
"6","36","K","B"," "
"6","37","K","B"," "
"6","38","K","B"," "
"6","39","K","B"," "
"6","40","K","B"," "
"6","41","K","B","n"
"6","42","K","H","w"
"6","43","K","H","p"
"6","44"," ","*"," "
"6","45"," ","."," "
"6","46"," ","."," "
"6","47"," ","."," "
"6","48"," ","."," "
"6","49"," ","*"," "
"6","50","M","B"," "
"6","51","M","H","v"
"6","52","M","B"," "
"6","53","M","H"," "
"6","54","M","G"," "
"6","55","M","B"," "
"6","56","M","H"," "
"6","57","M","G"," "
"6","58","M","G"," "
"6","59","M","G"," "
"6","60","M","K"," "
"6","61","m","B"," "
"6","62","m","G"," "
"6","63","m","K"," "
"6","64","m","K"," "
"6","65","m","D"," "
"6","70","?","H"," "
