"SiteTypeNo","Terrain","SiteType","Symbol","SecondarySymbol","Cost","Maintenance","MinPopulation","MaxPopulation","ProductionType","MinProduction","MaxProduction","MinProductionColonial","MaxProductionColonial","BonusSymbol","BonusPercentage","CitizensRequired"
"1","BHKQGWTD","Demolition Gang"," ","","0","0","0","9","none","0","0","","","","","1500"
"2","BHKQGWTD","Barracks","&","$","500000","25000","0","9","none","0","0","","","","","1500"
"4","BH","Factory","*","","500000","50000","4","9","ecpts","1000","3000","1000","3000      ","","","1500"
"5","BHKQ","Weaving Mill","#","","250000","35000","3","9","textiles","50","200","50","200       ","","","1500"
"6","BH","Mint","£","","250000","25000","4","9","louisdore","300000","900000","300000","900000    ","","","1500"
"7","B","Estate","@","","100000","10000","1","3","food","15","300","15","300       ","n","20","1500"
"8","BHKQ","Sheep Farm",":","","150000","10000","1","3","wool","30","70","30","70        ","v","20","1500"
"9","BHKQ","Horse Farm","=","","250000","10000","1","3","horses","300","500","300","500       ","p","40","1500"
"10","T","Lumber camp","%","","200000","7500","1","3","wood","100","200","100","200       ","","","1500"
"10","W","Lumber camp","%","","200000","7500","1","3","wood","200","500","200","500       ","","","1500"
"11","G","Quarry","/","","100000","5000","1","2","stone","500","900","500","900       ","","","1500"
"12","e","Mine","^","","600000","60000","1","9","ore","35","45","15","25        ","e","","1500"
"12","g","Mine","^","","600000","60000","1","9","gold","10","30","5","15        ","g","","1500"
"12","z","Mine","^","","600000","60000","1","9","zinc","0","0","5","10        ","z","","1500"
"13","w","Vineyard","!","","400000","40000","1","3","wine","20","40","20","40        ","w","","1500"
"15","BHKQGWTD","Small Fortification & Barracks","&","$","1500000","25000","0","9","none","0","0","","","","","1500"
"21","&$","Large Fortification Only","&","$","900000","25000","0","9","none","0","0","","","","","0"
"21","&$","Medium Fortification Only","&","$","600000","25000","0","9","none","0","0","","","","","0"
"21","&$","Small Fortification Only","&","$","350000","25000","0","9","none","0","0","","","","","0"
