"Type","Name","Wood","EcPts","Textiles","Citizens","Cost","Maintenance","LoadCapacity","MovementFactor","ShipClass"
"1","22 Cannon Brig","500","180","30","250","100000","5000","100","50","1"
"3","24 Cannon Small Corsair*","500","200","40","350","150000","7500","100","60","1"
"5","28 Cannon Corvette","600","225","30","300","150000","7500","150","45","1"
"7","32 Cannon Frigate","750","375","45","350","250000","12500","200","45","2"
"9","36 Cannon Large Corsair*","800","450","50","500","300000","15000","250","50","2"
"11","36 Cannon Frigate","900","450","45","400","300000","15000","250","40","2"
"13","44 Cannon Frigate","1100","550","50","450","400000","20000","300","40","2"
"15","54 Cannon Frigate","1200","750","45","500","500000","25000","400","35","3"
"17","64 Cannon Cruiser","1500","900","50","600","600000","30000","400","30","3"
"19","74 Cannon Cruiser","1700","1150","50","700","750000","37500","500","30","4"
"21","80 Cannon Cruiser","2000","1250","50","800","900000","45000","500","25","4"
"23","96 Cannon Battle Ship","2500","1650","60","950","1200000","60000","600","20","4"
"25","120 Cannon Battle Ship","3200","2000","60","1100","1600000","80000","600","20","5"
"31","Small Merchant Ship","700","75","30","75","200000","10000","250","50",""
"33","Med. Merchant Ship","1400","150","40","125","350000","17500","500","40",""
"35","Large Merchant Ship","2000","250","50","200","500000","25000","750","30",""
"37","Small Dhow*","500","50","40","50","150000","7500","200","60",""
"39","Large. Dhow*","1000","125","50","100","300000","15000","400","50",""
