"TurnId","ItemNo","X","Y","FederationNo","MP","Condition","Goods1","Quantity1","Goods2","Quantity2","Money"
"306EAug1808","7004","23","27","0","73","98","0","0","0","0","667283"
"306EAug1808","7019","5","41","0","74","99","0","0","0","0","636174"
"306EDec1808","7004","23","27","0","73","98","0","0","0","0","667283"
"306EDec1808","7019","13","41","0","73","98","18","3000","0","0","636174"
"306EFeb1808","7004","28","20","0","74","99","22","264","19","487","689451"
"306EFeb1808","7019","7","34","0","75","100","0","0","0","0","0"
"306EFeb1809","7004","20","37","0","71","95","0","0","0","0","667283"
"306EFeb1809","7019","13","41","0","72","96","0","0","0","0","636174"
"306EJan1808","7004","23","27","0","75","100","22","264","19","487","689451"
"306EJan1808","7019","7","34","0","75","100","0","0","0","0","0"
"306EJan1808","7021","9","84","0","75","100","0","0","0","0","0"
"306EJan1809","7004","23","27","0","73","98","0","0","0","0","667283"
"306EJan1809","7019","5","41","0","73","97","0","0","0","0","636174"
"306EJul1808","7004","23","27","0","73","98","0","0","0","0","667283"
"306EJul1808","7019","5","41","0","74","99","0","0","0","0","636174"
"306EJun1808","7004","23","27","0","73","98","0","0","0","0","667283"
"306EJun1808","7019","5","41","0","74","99","0","0","0","0","636174"
"306EMar1808","7004","23","27","0","73","98","19","2477","0","0","183620"
"306EMar1808","7019","5","41","0","74","99","0","0","0","0","636174"
"306ENov1808","7004","23","27","0","73","98","0","0","0","0","667283"
"306ENov1808","7019","5","41","0","74","99","0","0","0","0","636174"
"306EOct1808","7004","23","27","0","73","98","0","0","0","0","667283"
"306EOct1808","7019","5","41","0","74","99","0","0","0","0","636174"
"307EApr1808","7006","35","27","0","74","99","0","0","13","56","942857"
"307EApr1808","7017","13","41","0","75","100","23","86","19","389","599425"
"307EApr1808","7020","56","75","0","75","100","0","0","0","0","0"
"307EApr1809","7006","28","20","0","73","98","0","0","0","0","0"
"307EApr1809","7017","13","41","0","75","100","0","0","0","0","986909"
"307EApr1809","7020","56","75","0","75","100","0","0","0","0","0"
"307EAug1808","7006","28","20","0","73","98","0","0","13","56","942857"
"307EAug1808","7017","13","41","0","75","100","23","86","19","389","599425"
"307EAug1808","7020","56","75","0","75","100","0","0","0","0","0"
"307EDec1808","7006","28","20","0","73","98","0","0","0","0","0"
"307EDec1808","7017","13","41","0","75","100","0","0","0","0","986909"
"307EDec1808","7020","56","75","0","75","100","0","0","0","0","0"
"307EFeb1809","7006","28","20","0","73","98","0","0","0","0","0"
"307EFeb1809","7017","13","41","0","75","100","0","0","0","0","986909"
"307EFeb1809","7020","56","75","0","75","100","0","0","0","0","0"
"307EJan1808","7006","28","20","0","75","100","0","0","13","452","358761"
"307EJan1808","7017","13","41","0","75","100","23","86","19","389","599425"
"307EJan1808","7020","56","75","0","75","100","0","0","0","0","0"
"307EJan1809","7006","28","20","0","73","98","0","0","0","0","0"
"307EJan1809","7017","13","41","0","75","100","0","0","0","0","986909"
"307EJan1809","7020","56","75","0","75","100","0","0","0","0","0"
"307EJul1808","7006","35","27","0","74","99","0","0","13","56","942857"
"307EJul1808","7017","13","41","0","75","100","23","86","19","389","599425"
"307EJul1808","7020","56","75","0","75","100","0","0","0","0","0"
"307EJul1809","7006","28","20","0","73","98","0","0","0","0","0"
"307EJul1809","7017","13","41","0","75","100","0","0","0","0","986909"
"307EJul1809","7020","56","75","0","75","100","0","0","0","0","0"
"307EJun1808","7006","35","27","0","74","99","0","0","13","56","942857"
"307EJun1808","7017","13","41","0","75","100","23","86","19","389","599425"
"307EJun1808","7020","56","75","0","75","100","0","0","0","0","0"
"307EMar1808","7006","35","27","0","74","99","0","0","13","56","942857"
"307EMar1808","7017","13","41","0","75","100","23","86","19","389","599425"
"307EMar1808","7020","56","75","0","75","100","0","0","0","0","0"
"307EMay1808","7006","35","27","0","74","99","0","0","13","56","942857"
"307EMay1808","7017","13","41","0","75","100","23","86","19","389","599425"
"307EMay1808","7020","56","75","0","75","100","0","0","0","0","0"
"307EMay1809","7006","28","20","0","73","98","0","0","0","0","0"
"307EMay1809","7017","13","41","0","75","100","0","0","0","0","986909"
"307EMay1809","7020","56","75","0","75","100","0","0","0","0","0"
"307ENov1808","7006","28","20","0","73","98","0","0","13","2","1314943"
"307ENov1808","7017","13","41","0","75","100","0","0","0","0","986909"
"307ENov1808","7020","56","75","0","75","100","0","0","0","0","0"
"307ENov1809","7006","28","20","0","73","98","0","0","0","0","0"
"307ENov1809","7017","13","41","0","75","100","0","0","0","0","0"
"307ENov1809","7020","56","75","0","75","100","0","0","0","0","0"
"307EOct1808","7006","28","20","0","73","98","0","0","13","2","1314943"
"307EOct1808","7017","13","41","0","75","100","0","0","0","0","986909"
"307EOct1808","7020","56","75","0","75","100","0","0","0","0","0"
"307EOct1809","7006","28","20","0","73","98","0","0","0","0","0"
"307EOct1809","7017","13","41","0","75","100","0","0","0","0","0"
