"ItemNo","TurnId","Type","X","Y","Money","Citizens","EcPts","Wood","Horses","Text","FortressSize"
"203","306EAug1808","Eur","13","41","537600","0","1840","0","0","0","2"
"231","306EAug1808","Car","9","84","0","0","0","0","0","0","0"
"233","306EAug1808","Car","22","80","0","0","0","0","0","0","0"
"234","306EAug1808","Car","26","92","0","0","0","0","0","0","0"
"246","306EAug1808","Ind","83","75","0","0","0","0","0","0","0"
"301","306EAug1808","Eur","7","34","6000","0","13","0","0","0","0"
"305","306EAug1808","Eur","18","41","0","0","0","0","0","0","0"
"337","306EAug1808","Ind","90","84","0","0","0","0","0","0","0"
"203","306EDec1808","Eur","13","41","3200","0","140","0","0","0","2"
"231","306EDec1808","Car","9","84","0","0","0","0","0","0","0"
"233","306EDec1808","Car","22","80","0","0","0","0","0","0","0"
"234","306EDec1808","Car","26","92","0","0","0","0","0","0","0"
"301","306EDec1808","Eur","7","34","6000","0","13","0","0","0","0"
"305","306EDec1808","Eur","18","41","4786","0","180","0","0","0","0"
"337","306EDec1808","Ind","90","84","0","0","0","0","0","0","0"
"203","306EFeb1808","Eur","13","41","1736000","0","96","0","0","0","2"
"231","306EFeb1808","Car","9","84","0","0","0","0","0","0","0"
"233","306EFeb1808","Car","22","80","0","0","0","0","0","0","0"
"234","306EFeb1808","Car","26","92","0","0","0","0","0","0","0"
"301","306EFeb1808","Eur","7","34","0","0","0","0","0","0","0"
"305","306EFeb1808","Eur","18","41","0","0","0","0","0","0","0"
"337","306EFeb1808","Ind","90","84","0","0","0","0","0","0","0"
"203","306EFeb1809","Eur","13","41","0","0","0","0","0","0","2"
"231","306EFeb1809","Car","9","84","0","0","0","0","0","0","0"
"233","306EFeb1809","Car","22","80","0","0","0","0","0","0","0"
"234","306EFeb1809","Car","26","92","0","0","0","0","0","0","0"
"246","306EFeb1809","Ind","83","75","0","0","0","0","0","0","0"
"301","306EFeb1809","Eur","7","34","0","0","0","0","0","0","0"
"305","306EFeb1809","Eur","18","41","64022","0","12","0","0","0","0"
"337","306EFeb1809","Ind","90","84","0","0","0","0","0","0","0"
"203","306EFebr1808","Eur","13","41","1736000","0","96","0","0","0","2"
"231","306EFebr1808","Car","9","84","0","0","0","0","0","0","0"
"233","306EFebr1808","Car","22","80","0","0","0","0","0","0","0"
"234","306EFebr1808","Car","26","92","0","0","0","0","0","0","0"
"301","306EFebr1808","Eur","7","34","0","0","0","0","0","0","0"
"305","306EFebr1808","Eur","18","41","0","0","0","0","0","0","0"
"337","306EFebr1808","Ind","90","84","0","0","0","0","0","0","0"
"203","306EJan1808","Eur","13","41","0","0","0","0","0","0","2"
"231","306EJan1808","Car","9","84","0","0","0","0","0","0","0"
"233","306EJan1808","Car","22","80","0","0","0","0","0","0","0"
"234","306EJan1808","Car","26","92","0","0","0","0","0","0","0"
"301","306EJan1808","Eur","7","34","0","0","0","0","0","0","0"
"305","306EJan1808","Eur","18","41","0","0","0","0","0","0","0"
"337","306EJan1808","Ind","90","84","0","0","0","0","0","0","0"
"203","306EJan1809","Eur","13","41","3200","0","140","0","0","0","2"
"231","306EJan1809","Car","9","84","280000","0","0","0","0","0","0"
"233","306EJan1809","Car","22","80","0","0","0","0","0","0","0"
"234","306EJan1809","Car","26","92","0","0","0","0","0","0","0"
"301","306EJan1809","Eur","7","34","6000","0","13","0","0","0","0"
"305","306EJan1809","Eur","18","41","4786","0","180","0","0","0","0"
"337","306EJan1809","Ind","90","84","0","0","0","0","0","0","0"
"203","306EJul1808","Eur","13","41","96000","0","0","0","0","0","2"
"231","306EJul1808","Car","9","84","0","0","0","0","0","0","0"
"233","306EJul1808","Car","22","80","0","0","0","0","0","0","0"
"234","306EJul1808","Car","26","92","0","0","0","0","0","0","0"
"246","306EJul1808","Ind","83","75","0","0","0","0","0","0","0"
"301","306EJul1808","Eur","7","34","6000","0","13","0","0","0","0"
"305","306EJul1808","Eur","18","41","0","0","0","0","0","0","0"
"337","306EJul1808","Ind","90","84","0","0","0","0","0","0","0"
