"ItemNo","TurnId","Name","X_OrState","Y_OrFleet","MP","Federation","Batt1Type","Batt1EF","Batt1Size","Batt2Type","Batt2EF","Batt2Size","Batt3Type","Batt3EF","Batt3Size","Batt4Type","Batt4EF","Batt4Size","Batt5Type","Batt5EF","Batt5Size","Batt6Type","Batt6EF","Batt6Size","Batt7Type","Batt7EF","Batt7Size"
"4081","306EAug1808","BRIGADE 1       ","13","41","28","61","Cu","8","800","Cu","8","800","Dr","7","800","Dr","7","800","Dr","7","800","Dr","7","800","Ma","7","800"
"4082","306EAug1808","BRIGADE 2       ","13","41","28","61","Cu","8","800","Cu","8","800","Dr","7","800","Dr","7","800","Hu","7","800","Hu","7","800","Ma","7","800"
"4083","306EAug1808","BRIGADE 3       ","13","41","28","61","GR","8","800","Ln","6","800","Ln","6","800","Ln","6","800","Li","6","800","Pi","6","800","Pi","6","800"
"4084","306EAug1808","BRIGADE 4       ","13","41","28","61","GR","8","800","Ln","6","800","Ln","6","800","Ln","6","800","Li","6","800","Pi","6","800","Pi","6","800"
"4085","306EAug1808","BRIGADE 5       "," 7","34","28","62","Cu","8","800","Cu","8","800","Uh","7","800","Uh","7","800","Dr","7","800","Hu","7","800","Ma","7","800"
"4086","306EAug1808","BRIGADE 6       "," 7","34","28","62","GR","8","800","Ln","6","800","Ln","6","800","Ln","6","800","Li","6","800","La","6","800","La","6","800"
"4087","306EAug1808","BRIGADE 7       "," 7","34","28","62","GR","8","800","Ln","6","800","Ln","6","800","Ln","6","800","Li","6","800","La","6","800","La","6","800"
"4088","306EAug1808","BRIGADE 8       "," 7","34","28","62","GR","8","800","Ln","6","800","Ln","6","800","Ln","6","800","Ln","6","800","Pi","6","800","Pi","6","800"
"4128","306EAug1808","MARINE-BRIG 4   ","80","76","32","0","Kt","6","782","Kt","6","782","Kt","6","782","Ca","4","782","Ca","4","782","Cc","4","782","Cc","4","782"
"4129","306EAug1808","COLONIAL-BRIG 5 ","79","70","32","72","Ca","4","786","Ca","4","786","Ca","4","786","Ca","4","786","Ca","4","786","Ca","4","786","Ca","4","786"
"4130","306EAug1808","COLONIAL-BRIG 6 ","90","84","32","0","Cc","4","800","Cc","4","800","Ca","4","800","Cc","4","800","Cc","4","800","Cc","4","800","Cc","4","800"
"4131","306EAug1808","MARINE-BRIG 1   ","30","96","32","0","Kt","6","789","Kt","6","789","Kt","6","789","Cc","4","789","Cc","4","789","Ca","4","789","Ca","4","789"
"4132","306EAug1808","COLONIAL-BRIG 1 ","26","92","32","0","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800","Ca","4","800"
"4133","306EAug1808","COLONIAL-BRIG 2 ","25","95","32","0","Mc","4","775","Mc","4","775","Mc","4","775","Mc","4","775","Mc","4","775","Kt","4","797","Kt","4","797"
"4134","306EAug1808","MARINE-BRIG 2   ","17","90","32","0","Kt","6","786","Kt","6","786","Kt","6","786","Ca","4","786","Ca","4","786","Ca","4","786","Mc","4","786"
"4135","306EAug1808","COLONIAL-BRIG 3 "," 1","76","40","71","Mc","4","786","Mc","4","786","Mc","4","786","Mc","4","786","Mc","4","786","Mc","4","786","Mc","4","786"
"4136","306EAug1808","COLONIAL-BRIG 4 "," 4","84","32","0","Ca","4","793","Ca","4","793","Ca","4","793","Ca","4","793","Ca","4","793","--","","","--","",""
"4161","306EAug1808","MARINE-BRIG 3   ","17","88","32","0","Kt","6","785","Kt","6","785","Ca","4","785","Ca","4","785","Ca","4","785","Mc","4","785","Mc","4","785"
"4215","306EAug1808","COLONIALS 1     ","27","92","28","0","Kt","4","797","Kt","4","797","--","","","--","","","Mi","3","797","--","","","--","",""
"4229","306EAug1808","CORE 1          ","13","41","28","61","GR","3","800","GR","3","800","GR","3","800","Ln","3","800","Ln","3","800","Ln","3","800","Ln","3","800"
"4242","306EAug1808","CORE 2          ","13","41","28","61","GR","3","800","GR","3","800","GR","3","800","Ln","3","800","Ln","3","800","Ln","3","800","Ln","3","800"
"4256","306EAug1808","CORE 3          ","13","41","28","61","GR","3","800","GR","3","800","GR","3","800","Ln","3","800","Ln","3","800","--","","","--","",""
