"ItemNo","TurnId","Rank","Name","X","Y","Boarded","Federation","MP","CommandCapacity"
"1","306EAug1808","Field Marshal ","Y. CUESTA      ","13","41","","0","75","18"
"2","306EAug1808","Lieut General ","CASTANOS       ","79","70","","72","75","14"
"3","306EAug1808","Major-General ","CONDE DE RAMON ","1","76","","71","75","10"
"4","306EAug1808","Brigadier     ","DE LA ROMANA   ","48","60","","63","75","8"
"5","306EAug1808","Colonel       ","ARMENDARIZ     ","76","94","","0","75","3"
"6","306EAug1808","Colonel       ","MARTORELL      ","0","0","1084","0","75","3"
"1","306EDec1808","Field Marshal ","Y. CUESTA      ","13","41","","0","75","18"
"2","306EDec1808","Lieut General ","CASTANOS       ","81","71","","72","75","14"
"3","306EDec1808","Major-General ","CONDE DE RAMON ","3","79","","71","75","10"
"4","306EDec1808","Brigadier     ","DE LA ROMANA   ","48","62","","63","75","8"
"5","306EDec1808","Colonel       ","ARMENDARIZ     ","77","95","","0","75","3"
"6","306EDec1808","Colonel       ","MARTORELL      ","29","43","","67","75","4"
"7","306EDec1808","Colonel       ","SALCEDO        ","0","0","1049","0","75","1"
"1","306EFeb1808","Field Marshal ","Y. CUESTA      ","13","41","","0","75","18"
"2","306EFeb1808","Lieut General ","CASTANOS       ","0","0","1076","0","75","14"
"3","306EFeb1808","Major-General ","CONDE DE RAMON ","6","81","","71","75","10"
"4","306EFeb1808","Brigadier     ","DE LA ROMANA   ","0","0","1062","0","75","8"
"1","306EFeb1809","Field Marshal ","Y. CUESTA      ","13","41","","0","75","18"
"2","306EFeb1809","Lieut General ","CASTANOS       ","83","71","","72","75","14"
"3","306EFeb1809","Major-General ","CONDE DE RAMON ","5","83","","71","75","10"
"4","306EFeb1809","Brigadier     ","DE LA ROMANA   ","50","61","","63","75","8"
"5","306EFeb1809","Colonel       ","ARMENDARIZ     ","0","0","1085","0","75","3"
"6","306EFeb1809","Colonel       ","MARTORELL      ","30","42","","67","75","4"
"7","306EFeb1809","Colonel       ","SALCEDO        ","37","49","","64","75","1"
"1","306EFebr1808","Field Marshal ","Y. CUESTA      ","13","41","","0","75","18"
"2","306EFebr1808","Lieut General ","CASTANOS       ","0","0","1076","0","75","14"
"3","306EFebr1808","Major-General ","CONDE DE RAMON ","6","81","","71","75","10"
"4","306EFebr1808","Brigadier     ","DE LA ROMANA   ","0","0","1062","0","75","8"
"1","306EJan1808","Field Marshal ","Y. CUESTA      ","13","41","","0","75","18"
"2","306EJan1808","Lieut General ","CASTANOS       ","7","34","","0","75","14"
"3","306EJan1808","Major-General ","CONDE DE RAMON ","9","84","","0","75","10"
"4","306EJan1808","Brigadier     ","DE LA ROMANA   ","18","41","","0","75","8"
"1","306EJan1809","Field Marshal ","Y. CUESTA      ","13","41","","0","75","18"
"2","306EJan1809","Lieut General ","CASTANOS       ","83","73","","72","75","14"
"3","306EJan1809","Major-General ","CONDE DE RAMON ","5","81","","71","75","10"
"4","306EJan1809","Brigadier     ","DE LA ROMANA   ","48","62","","63","75","8"
"5","306EJan1809","Colonel       ","ARMENDARIZ     ","0","0","1085","0","75","3"
"6","306EJan1809","Colonel       ","MARTORELL      ","29","43","","67","75","4"
"7","306EJan1809","Colonel       ","SALCEDO        ","36","48","","0","75","1"
"1","306EJul1808","Field Marshal ","Y. CUESTA      ","13","41","","0","75","18"
"2","306EJul1808","Lieut General ","CASTANOS       ","81","72","","72","75","14"
"3","306EJul1808","Major-General ","CONDE DE RAMON ","3","76","","71","75","10"
"4","306EJul1808","Brigadier     ","DE LA ROMANA   ","48","60","","63","75","8"
"5","306EJul1808","Colonel       ","ARMENDARIZ     ","76","94","","0","75","3"
"6","306EJul1808","Colonel       ","MARTORELL      ","0","0","1084","0","75","3"
"1","306EJun1808","Field Marshal ","Y. CUESTA      ","13","41","","0","75","18"
"2","306EJun1808","Lieut General ","CASTANOS       ","81","73","","72","75","14"
"3","306EJun1808","Major-General ","CONDE DE RAMON ","5","76","","71","75","10"
"4","306EJun1808","Brigadier     ","DE LA ROMANA   ","52","61","","63","75","8"
"5","306EJun1808","Colonel       ","ARMENDARIZ     ","0","0","1085","0","75","3"
"6","306EJun1808","Colonel       ","MARTORELL      ","13","41","","0","75","3"
"1","306EMar1808","Field Marshal ","Y. CUESTA      ","13","41","","0","75","18"
"2","306EMar1808","Lieut General ","CASTANOS       ","0","0","1076","0","75","14"
"3","306EMar1808","Major-General ","CONDE DE RAMON ","5","79","","71","75","10"
"4","306EMar1808","Brigadier     ","DE LA ROMANA   ","0","0","1062","0","75","8"
"5","306EMar1808","Colonel       ","ARMENDARIZ     ","13","41","","0","75","3"
"1","306ENov1808","Field Marshal ","Y. CUESTA      ","13","41","","0","75","18"
"2","306ENov1808","Lieut General ","CASTANOS       ","79","71","","72","75","14"
"3","306ENov1808","Major-General ","CONDE DE RAMON ","4","77","","71","75","10"
"4","306ENov1808","Brigadier     ","DE LA ROMANA   ","48","65","","63","75","8"
"5","306ENov1808","Colonel       ","ARMENDARIZ     ","77","95","","0","75","3"
"6","306ENov1808","Colonel       ","MARTORELL      ","29","43","","0","75","3"
"7","306ENov1808","Colonel       ","SALCEDO        ","13","41","","0","75","1"
"1","306EOct1808","Field Marshal ","Y. CUESTA      ","13","41","","0","75","18"
"2","306EOct1808","Lieut General ","CASTANOS       ","78","70","","72","75","14"
"3","306EOct1808","Major-General ","CONDE DE RAMON ","2","78","","71","75","10"
"4","306EOct1808","Brigadier     ","DE LA ROMANA   ","47","63","","63","75","8"
"5","306EOct1808","Colonel       ","ARMENDARIZ     ","0","0","1085","0","75","3"
"6","306EOct1808","Colonel       ","MARTORELL      ","0","0","1084","0","75","3"
"7","306EOct1808","Colonel       ","SALCEDO        ","13","41","","0","75","1"
"1","307EApr1808","Field Marshal ","WELLINGTON     ","23","20","","0","75","18"
"2","307EApr1808","Lieut General ","BERESFORD      ","0","0","1165","0","75","14"
"3","307EApr1808","Major-General ","COTTON         ","75","74","","81","75","11"
"4","307EApr1808","Major-General ","PICTON         ","0","0","1426","0","75","9"
"1","307EApr1809","Field Marshal ","WELLINGTON     ","13","19","","63","75","20"
"2","307EApr1809","Lieut General ","BERESFORD      ","37","13","","65","75","14"
"3","307EApr1809","Major-General ","COTTON         ","78","74","","81","75","11"
"4","307EApr1809","Major-General ","PICTON         ","78","80","","73","75","9"
"5","307EApr1809","Colonel       ","MURRAY         ","13","19","","62","75","2"
"6","307EApr1809","Colonel       ","CRAUFURD       ","13","19","","0","75","1"
"7","307EApr1809","Colonel       ","CH. V. ALTEN   ","0","0","1165","0","75","3"
"8","307EApr1809","Colonel       ","PAKENHAM       ","13","19","","0","75","1"
"1","307EAug1808","Field Marshal ","WELLINGTON     ","23","20","","0","75","18"
"2","307EAug1808","Lieut General ","BERESFORD      ","0","0","1165","0","75","14"
"3","307EAug1808","Major-General ","COTTON         ","82","72","","81","75","11"
"4","307EAug1808","Major-General ","PICTON         ","73","76","","73","75","9"
"5","307EAug1808","Colonel       ","MURRAY         ","13","19","","0","75","2"
"6","307EAug1808","Colonel       ","CRAUFURD       ","13","19","","0","75","1"
"1","307EDec1808","Field Marshal ","WELLINGTON     ","15","14","","0","75","18"
"2","307EDec1808","Lieut General ","BERESFORD      ","38","14","","65","75","14"
"3","307EDec1808","Major-General ","COTTON         ","83","71","","81","75","11"
"4","307EDec1808","Major-General ","PICTON         ","76","81","","73","75","9"
"5","307EDec1808","Colonel       ","MURRAY         ","13","19","","62","75","2"
"6","307EDec1808","Colonel       ","CRAUFURD       ","13","18","","0","75","1"
"7","307EDec1808","Colonel       ","CH. V. ALTEN   ","41","14","","0","75","3"
"1","307EFeb1809","Field Marshal ","WELLINGTON     ","15","14","","63","75","20"
"2","307EFeb1809","Lieut General ","BERESFORD      ","37","13","","65","75","14"
"3","307EFeb1809","Major-General ","COTTON         ","80","70","","81","75","11"
"4","307EFeb1809","Major-General ","PICTON         ","78","80","","73","75","9"
"5","307EFeb1809","Colonel       ","MURRAY         ","13","19","","62","75","2"
"6","307EFeb1809","Colonel       ","CRAUFURD       ","13","19","","0","75","1"
"7","307EFeb1809","Colonel       ","CH. V. ALTEN   ","0","0","1165","0","75","3"
"8","307EFeb1809","Colonel       ","PAKENHAM       ","13","19","","0","75","1"
"1","307EJan1808","Field Marshal ","WELLINGTON     ","23","20","","0","75","18"
"2","307EJan1808","Lieut General ","BERESFORD      ","23","20","","0","75","14"
"3","307EJan1808","Major-General ","COTTON         ","71","74","","0","75","11"
"4","307EJan1808","Major-General ","PICTON         ","13","19","","0","75","9"
"1","307EJan1809","Field Marshal ","WELLINGTON     ","15","14","","63","75","20"
"2","307EJan1809","Lieut General ","BERESFORD      ","40","13","","65","75","14"
"3","307EJan1809","Major-General ","COTTON         ","82","70","","81","75","11"
"4","307EJan1809","Major-General ","PICTON         ","78","81","","73","75","9"
"5","307EJan1809","Colonel       ","MURRAY         ","13","19","","62","75","2"
"6","307EJan1809","Colonel       ","CRAUFURD       ","13","18","","0","75","1"
"7","307EJan1809","Colonel       ","CH. V. ALTEN   ","0","0","1165","0","75","3"
"1","307EJul1808","Field Marshal ","WELLINGTON     ","23","20","","0","75","18"
"2","307EJul1808","Lieut General ","BERESFORD      ","0","0","1165","0","75","14"
"3","307EJul1808","Major-General ","COTTON         ","80","73","","81","75","11"
"4","307EJul1808","Major-General ","PICTON         ","73","75","","73","75","9"
"5","307EJul1808","Colonel       ","MURRAY         ","13","19","","0","75","2"
"1","307EJul1809","Field Marshal ","WELLINGTON     ","13","19","","63","75","20"
"2","307EJul1809","Lieut General ","BERESFORD      ","0","0","1165","0","75","14"
"3","307EJul1809","Major-General ","COTTON         ","75","73","","81","75","11"
"4","307EJul1809","Major-General ","PICTON         ","74","76","","73","75","9"
"5","307EJul1809","Colonel       ","MURRAY         ","13","19","","62","75","2"
"6","307EJul1809","Colonel       ","CRAUFURD       ","0","0","1307","0","75","1"
"7","307EJul1809","Colonel       ","CH. V. ALTEN   ","22","25","","64","75","3"
"8","307EJul1809","Colonel       ","PAKENHAM       ","0","0","1307","0","75","1"
"1","307EJun1808","Field Marshal ","WELLINGTON     ","23","20","","0","75","18"
"2","307EJun1808","Lieut General ","BERESFORD      ","0","0","1165","0","75","14"
"3","307EJun1808","Major-General ","COTTON         ","80","75","","81","75","11"
"4","307EJun1808","Major-General ","PICTON         ","72","75","","0","75","9"
"5","307EJun1808","Colonel       ","MURRAY         ","13","19","","0","75","2"
"1","307EMar1808","Field Marshal ","WELLINGTON     ","23","20","","0","75","18"
"2","307EMar1808","Lieut General ","BERESFORD      ","0","0","1165","0","75","14"
"3","307EMar1808","Major-General ","COTTON         ","73","74","","81","75","11"
"4","307EMar1808","Major-General ","PICTON         ","0","0","1426","0","75","9"
"1","307EMay1808","Field Marshal ","WELLINGTON     ","23","20","","0","75","18"
"2","307EMay1808","Lieut General ","BERESFORD      ","0","0","1165","0","75","14"
"3","307EMay1808","Major-General ","COTTON         ","78","74","","81","75","11"
"4","307EMay1808","Major-General ","PICTON         ","0","0","1426","0","75","9"
"1","307EMay1809","Field Marshal ","WELLINGTON     ","13","19","","63","75","20"
"2","307EMay1809","Lieut General ","BERESFORD      ","37","13","","65","75","14"
"3","307EMay1809","Major-General ","COTTON         ","79","75","","81","75","11"
"4","307EMay1809","Major-General ","PICTON         ","77","77","","73","75","9"
"5","307EMay1809","Colonel       ","MURRAY         ","13","19","","62","75","2"
"6","307EMay1809","Colonel       ","CRAUFURD       ","0","0","1307","0","75","1"
"7","307EMay1809","Colonel       ","CH. V. ALTEN   ","0","0","1165","0","75","3"
"8","307EMay1809","Colonel       ","PAKENHAM       ","0","0","1307","0","75","1"
"1","307ENov1808","Field Marshal ","WELLINGTON     ","0","0","1178","0","75","18"
"2","307ENov1808","Lieut General ","BERESFORD      ","40","11","","65","75","14"
"3","307ENov1808","Major-General ","COTTON         ","84","70","","81","75","11"
"4","307ENov1808","Major-General ","PICTON         ","75","82","","73","75","9"
"5","307ENov1808","Colonel       ","MURRAY         ","13","19","","62","75","2"
"6","307ENov1808","Colonel       ","CRAUFURD       ","0","0","1151","0","75","1"
"7","307ENov1808","Colonel       ","CH. V. ALTEN   ","41","14","","0","75","3"
"1","307ENov1809","Field Marshal ","WELLINGTON     ","13","19","","63","75","20"
"2","307ENov1809","Lieut General ","BERESFORD      ","23","20","","0","75","14"
"3","307ENov1809","Major-General ","COTTON         ","74","73","","81","75","11"
"4","307ENov1809","Major-General ","PICTON         ","79","73","","73","75","9"
"5","307ENov1809","Colonel       ","MURRAY         ","13","19","","62","75","2"
"6","307ENov1809","Colonel       ","CRAUFURD       ","0","0","1307","0","75","1"
"7","307ENov1809","Colonel       ","CH. V. ALTEN   ","22","25","","64","75","3"
"8","307ENov1809","Colonel       ","PAKENHAM       ","0","0","1307","0","75","1"
"9","307ENov1809","Colonel       ","EDW. PAGET     ","13","19","","0","75","2"
"10","307ENov1809","Colonel       ","COLE           ","34","17","","0","75","1"
"1","307EOct1808","Field Marshal ","WELLINGTON     ","23","20","","0","75","18"
"2","307EOct1808","Lieut General ","BERESFORD      ","41","14","","65","75","14"
"3","307EOct1808","Major-General ","COTTON         ","84","72","","81","75","11"
"4","307EOct1808","Major-General ","PICTON         ","74","80","","73","75","9"
"5","307EOct1808","Colonel       ","MURRAY         ","13","19","","0","75","2"
"6","307EOct1808","Colonel       ","CRAUFURD       ","0","0","1151","0","75","1"
"7","307EOct1808","Colonel       ","CH. V. ALTEN   ","41","14","","0","75","3"
"1","307EOct1809","Field Marshal ","WELLINGTON     ","13","19","","63","75","20"
"2","307EOct1809","Lieut General ","BERESFORD      ","23","20","","0","75","14"
"3","307EOct1809","Major-General ","COTTON         ","72","72","","81","75","11"
"4","307EOct1809","Major-General ","PICTON         ","78","74","","73","75","9"
"5","307EOct1809","Colonel       ","MURRAY         ","13","19","","62","75","2"
"6","307EOct1809","Colonel       ","CRAUFURD       ","0","0","1307","0","75","1"
"7","307EOct1809","Colonel       ","CH. V. ALTEN   ","22","25","","64","75","3"
"8","307EOct1809","Colonel       ","PAKENHAM       ","0","0","1307","0","75","1"
"9","307EOct1809","Colonel       ","EDW. PAGET     ","13","19","","0","75","2"
"1","307ESep1808","Field Marshal ","WELLINGTON     ","23","20","","0","75","18"
"2","307ESep1808","Lieut General ","BERESFORD      ","39","15","","0","75","14"
"3","307ESep1808","Major-General ","COTTON         ","83","74","","81","75","11"
"4","307ESep1808","Major-General ","PICTON         ","74","78","","73","75","9"
"5","307ESep1808","Colonel       ","MURRAY         ","13","19","","0","75","2"
"6","307ESep1808","Colonel       ","CRAUFURD       ","13","19","","0","75","1"
"1","307ESep1809","Field Marshal ","WELLINGTON     ","13","19","","63","75","20"
"2","307ESep1809","Lieut General ","BERESFORD      ","23","20","","0","75","14"
"3","307ESep1809","Major-General ","COTTON         ","74","70","","81","75","11"
"4","307ESep1809","Major-General ","PICTON         ","76","74","","73","75","9"
"5","307ESep1809","Colonel       ","MURRAY         ","13","19","","62","75","2"
"6","307ESep1809","Colonel       ","CRAUFURD       ","0","0","1307","0","75","1"
"7","307ESep1809","Colonel       ","CH. V. ALTEN   ","22","25","","64","75","3"
"8","307ESep1809","Colonel       ","PAKENHAM       ","0","0","1307","0","75","1"
"9","307ESep1809","Colonel       ","EDW. PAGET     ","13","19","","0","75","2"
"1","348BAug1809","Field Marshal ","WREDE          ","35","27","","61","75","19"
"2","348BAug1809","Lieut General ","VON KRUSE      ","35","27","","62","75","14"
"3","348BAug1809","Major-General ","HEISSE         ","35","27","","61","75","9"
"4","348BAug1809","Colonel       ","OCHS           ","35","27","","62","75","1"
"5","348BAug1809","Colonel       ","MAHN           ","38","21","","63","75","2"
"6","348BAug1809","Colonel       ","VON BUTTLAR    ","36","27","","0","75","4"
"7","348BAug1809","Colonel       ","VINCKE         ","35","27","","61","75","1"
"8","348BAug1809","Colonel       ","WISSEL         ","36","23","","64","75","4"
"9","348BAug1809","Colonel       ","BODECKER       ","35","27","","61","75","2"
"1","348BSep1809","Field Marshal ","WREDE          ","35","27","","61","75","19"
"2","348BSep1809","Lieut General ","VON KRUSE      ","35","27","","62","75","14"
"3","348BSep1809","Major-General ","HEISSE         ","35","27","","61","75","9"
"4","348BSep1809","Colonel       ","OCHS           ","35","27","","62","75","1"
"5","348BSep1809","Colonel       ","MAHN           ","38","21","","63","75","2"
"6","348BSep1809","Colonel       ","VON BUTTLAR    ","36","27","","0","75","4"
"7","348BSep1809","Colonel       ","VINCKE         ","35","27","","61","75","1"
"8","348BSep1809","Colonel       ","WISSEL         ","36","23","","64","75","4"
"9","348BSep1809","Colonel       ","BODECKER       ","35","27","","61","75","2"
"1","348EAug1809","Field Marshal ","WREDE          ","35","27","","61","75","19"
"2","348EAug1809","Lieut General ","VON KRUSE      ","35","27","","62","75","14"
"3","348EAug1809","Major-General ","HEISSE         ","35","27","","61","75","9"
"4","348EAug1809","Colonel       ","OCHS           ","35","27","","62","75","1"
"5","348EAug1809","Colonel       ","MAHN           ","38","21","","63","75","2"
"6","348EAug1809","Colonel       ","VON BUTTLAR    ","36","27","","0","75","4"
"7","348EAug1809","Colonel       ","VINCKE         ","35","27","","61","75","1"
