"TurnId","ItemNo","X","Y","Boarded","Report"
"306EAug1808","91","5","41","","29 Battalions,   14 War- &    4 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306EAug1808","92","31","32","","84 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    small"
"306EAug1808","93","23","27",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306EAug1808","94","24","77","1075"," 0 Battalions,    2 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EAug1808","95","83","75","1076"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EDec1808","91","5","41","","29 Battalions,    1 War- &    4 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306EDec1808","92","38","42",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    9 Brigades &   17 Ships in vicinity    -----"
"306EDec1808","93","23","27",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306EDec1808","94","24","77","1075"," 0 Battalions,    2 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EDec1808","95","83","75","1076"," 3 Battalions,    5 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EFeb1808","91","5","41","","90 Battalions,    8 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306EFeb1808","92","9","46",""," 0 Battalions,    4 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306EFeb1808","93","23","32",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EFeb1808","94","22","80","1075"," 0 Battalions,    5 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EFeb1808","95","90","84","1069","14 Battalions,    4 War- &    1 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EFeb1809","91","5","41","","69 Battalions,    0 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306EFeb1809","92","38","43","","62 Battalions,   13 War- &    4 merchant Ships at position,    4 Brigades &    0 Ships in vicinity    mediu"
"306EFeb1809","93","38","33",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EFeb1809","94","24","77","1075"," 5 Battalions,    2 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EFeb1809","95","84","75","1076"," 0 Battalions,    1 War- &    0 merchant Ships at position,    1 Brigades &    9 Ships in vicinity    -----"
"306EJan1808","91","7","34","","28 Battalions,    6 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EJan1808","92","13","41","","28 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306EJan1808","93","18","41",""," 0 Battalions,   13 War- &    4 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EJan1808","94","22","80",""," 7 Battalions,    5 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EJan1808","95","90","84","","21 Battalions,    4 War- &    1 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EJan1809","91","5","41","","54 Battalions,    0 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306EJan1809","92","38","42",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    9 Brigades &   17 Ships in vicinity    -----"
"306EJan1809","93","35","27","","06 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306EJan1809","94","24","77","1075"," 0 Battalions,    2 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EJan1809","95","84","75","1076"," 0 Battalions,    1 War- &    0 merchant Ships at position,    1 Brigades &   14 Ships in vicinity    -----"
"306EJul1808","91","5","41","","22 Battalions,    7 War- &    7 merchant Ships at position,    0 Brigades &    1 Ships in vicinity    mediu"
"306EJul1808","92","22","32",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EJul1808","93","23","27","","61 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306EJul1808","94","28","81","1075"," 0 Battalions,    4 War- &    1 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EJul1808","95","83","75",""," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EJun1808","91","5","41","","12 Battalions,    7 War- &    7 merchant Ships at position,    0 Brigades &    1 Ships in vicinity    mediu"
"306EJun1808","92","22","32",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EJun1808","93","23","27","","91 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306EJun1808","94","28","81","1075"," 0 Battalions,    4 War- &    1 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EJun1808","95","83","75",""," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EMar1808","91","5","41","","95 Battalions,    8 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306EMar1808","92","9","46",""," 0 Battalions,    1 War- &    1 merchant Ships at position,    0 Brigades &    1 Ships in vicinity    mediu"
"306EMar1808","93","23","32",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EMar1808","94","23","78","1075"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EMar1808","95","83","75",""," 7 Battalions,    2 War- &    2 merchant Ships at position,    0 Brigades &    5 Ships in vicinity    -----"
"306ENov1808","91","5","41","","29 Battalions,    9 War- &    5 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306ENov1808","92","38","42",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    9 Brigades &   17 Ships in vicinity    -----"
"306ENov1808","93","23","27",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306ENov1808","94","24","77","1075"," 0 Battalions,    2 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306ENov1808","95","83","75","1076"," 0 Battalions,    5 War- &    0 merchant Ships at position,    1 Brigades &    0 Ships in vicinity    -----"
"306EOct1808","91","5","41","","39 Battalions,   10 War- &    5 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306EOct1808","92","38","42",""," 0 Battalions,    0 War- &    0 merchant Ships at position,   26 Brigades &   17 Ships in vicinity    -----"
"306EOct1808","93","23","27",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"306EOct1808","94","24","77","1075"," 0 Battalions,    2 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"306EOct1808","95","83","75","1076"," 0 Battalions,    5 War- &    0 merchant Ships at position,    1 Brigades &    0 Ships in vicinity    -----"
"307EApr1808","91","23","20","1155","35 Battalions,    7 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307EApr1808","92","22","11","1168"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EApr1808","93","38","53",""," 0 Battalions,    0 War- &    1 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EApr1808","94","24","77","1167"," 0 Battalions,    3 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EApr1808","95","71","74",""," 7 Battalions,    3 War- &    0 merchant Ships at position,    1 Brigades &    0 Ships in vicinity    -----"
"307EApr1809","91","13","19","","71 Battalions,   24 War- &   13 merchant Ships at position,    0 Brigades &   32 Ships in vicinity    -----"
"307EApr1809","92","28","20","1168","22 Battalions,    1 War- &    1 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307EApr1809","93","27","36",""," 0 Battalions,    3 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EApr1809","94","26","92","1167"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EApr1809","95","79","82",""," 0 Battalions,    0 War- &    0 merchant Ships at position,   12 Brigades &    0 Ships in vicinity    -----"
"307EAug1808","91","23","20","1155","50 Battalions,    8 War- &    0 merchant Ships at position,    0 Brigades &   19 Ships in vicinity    mediu"
"307EAug1808","92","33","19","1168"," 0 Battalions,    1 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EAug1808","93","27","36",""," 0 Battalions,    0 War- &    1 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EAug1808","94","26","92","1167"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EAug1808","95","81","74",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EDec1808","91","13","18",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    1 Brigades &   41 Ships in vicinity    -----"
"307EDec1808","92","28","20","1168","10 Battalions,    1 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307EDec1808","93","31","32","","84 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    small"
"307EDec1808","94","40","96","1167","11 Battalions,    4 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EDec1808","95","83","75","","14 Battalions,    4 War- &    1 merchant Ships at position,    1 Brigades &    0 Ships in vicinity    -----"
"307EFeb1809","91","13","19","","54 Battalions,   25 War- &   13 merchant Ships at position,    0 Brigades &   33 Ships in vicinity    -----"
"307EFeb1809","92","28","20","1168","10 Battalions,    1 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307EFeb1809","93","31","32",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EFeb1809","94","26","92","1167"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EFeb1809","95","79","82",""," 5 Battalions,    0 War- &    0 merchant Ships at position,    7 Brigades &    0 Ships in vicinity    -----"
"307EJan1808","91","23","20","","35 Battalions,    7 War- &    5 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307EJan1808","92","22","11",""," 0 Battalions,    6 War- &    5 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EJan1808","93","38","53",""," 0 Battalions,    4 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EJan1808","94","24","77","","13 Battalions,    8 War- &    5 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EJan1808","95","71","74","","21 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EJan1809","91","13","19",""," 2 Battalions,   26 War- &   13 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EJan1809","92","28","20","1168","10 Battalions,    1 War- &    1 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307EJan1809","93","31","32",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    small"
"307EJan1809","94","40","96","1167","11 Battalions,    4 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EJan1809","95","81","80","","14 Battalions,    0 War- &    0 merchant Ships at position,    1 Brigades &    0 Ships in vicinity    -----"
"307EJul1808","91","23","20","1155","80 Battalions,    7 War- &    1 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307EJul1808","92","34","17","1168"," 0 Battalions,    2 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307EJul1808","93","38","33","","40 Battalions,    2 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EJul1808","94","26","92","1167"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EJul1808","95","76","74",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EJul1809","91","13","19","","17 Battalions,    4 War- &    3 merchant Ships at position,    0 Brigades &   13 Ships in vicinity    -----"
"307EJul1809","92","28","20","1168","12 Battalions,    1 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307EJul1809","93","15","26","","04 Battalions,    1 War- &    2 merchant Ships at position,    0 Brigades &   26 Ships in vicinity    -----"
"307EJul1809","94","26","92","1167"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EJul1809","95","79","82","","12 Battalions,    0 War- &    0 merchant Ships at position,    4 Brigades &    0 Ships in vicinity    -----"
"307EJun1808","91","23","20","1155","60 Battalions,    7 War- &    3 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307EJun1808","92","22","11","1168"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EJun1808","93","38","53","1160"," 0 Battalions,    5 War- &    1 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EJun1808","94","22","80","1167"," 0 Battalions,    6 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EJun1808","95","76","74",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EMar1808","91","23","20","1155","35 Battalions,    7 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307EMar1808","92","22","11","1168"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EMar1808","93","38","53",""," 0 Battalions,    4 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EMar1808","94","24","77","1167"," 0 Battalions,    6 War- &    5 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EMar1808","95","71","74","","14 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EMay1808","91","23","20","1155","35 Battalions,    7 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307EMay1808","92","22","11","1168"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EMay1808","93","38","53",""," 0 Battalions,    5 War- &    1 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EMay1808","94","22","80","1167"," 0 Battalions,    6 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EMay1808","95","71","74",""," 7 Battalions,    3 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EMay1809","91","13","19","","71 Battalions,    2 War- &    0 merchant Ships at position,    0 Brigades &   43 Ships in vicinity    -----"
"307EMay1809","92","28","20","1168","22 Battalions,    1 War- &    1 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307EMay1809","93","23","27",""," 0 Battalions,    0 War- &    0 merchant Ships at position,   10 Brigades &    0 Ships in vicinity    large"
"307EMay1809","94","26","92","1167"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307EMay1809","95","79","82",""," 0 Battalions,    0 War- &    0 merchant Ships at position,    4 Brigades &    0 Ships in vicinity    -----"
"307ENov1808","91","13","20","1155"," 0 Battalions,   70 War- &   13 merchant Ships at position,   12 Brigades &    1 Ships in vicinity    -----"
"307ENov1808","92","28","20","1168"," 0 Battalions,    1 War- &    2 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    mediu"
"307ENov1808","93","31","32",""," 0 Battalions,    0 War- &    0 merchant Ships at position,   10 Brigades &    0 Ships in vicinity    small"
"307ENov1808","94","40","96","1167","11 Battalions,    4 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307ENov1808","95","83","75","","14 Battalions,    4 War- &    1 merchant Ships at position,    1 Brigades &    0 Ships in vicinity    -----"
"307ENov1809","91","22","24","1161"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307ENov1809","92","33","19",""," 0 Battalions,    0 War- &    4 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307ENov1809","93","34","23","","64 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307ENov1809","94","26","92","1167"," 0 Battalions,    1 War- &    0 merchant Ships at position,    0 Brigades &    0 Ships in vicinity    -----"
"307ENov1809","95","82","88",""," 7 Battalions,    0 War- &    0 merchant Ships at position,    0 Brigades &    8 Ships in vicinity    -----"
