"TurnId","ItemNo","X","Y","Name","Rate","EctPts","Food","Stone","Wood","Ore","Zinc","Horses","Textiles","Wool","Gold","Wine"
"306EAug1808","101","5","41","Lisbon          ","3","2850","0","0","0","44","3","8009","0","0","10","75"
"306EAug1808","102","5","55","Rabat           ","5","6250","0","0","1588","0","2","0","0","118","10","0"
"306EAug1808","103","13","41","Madrid          ","4","2750","113","0","5683","28","14","549","128","0","42","51"
"306EAug1808","104","23","20","London          ","2","623","835","499","0","28","3","880","0","0","5","77"
"306EAug1808","105","23","27","Paris           ","2","1727","1285","801","4266","22","3","2182","23","71","32","72"
"306EAug1808","106","28","20","Amsterdam       ","6","6975","805","624","487","117","1","4507","35","54","8","77"
"306EAug1808","107","30","49","Tunis           ","5","1518","1248","649","1070","20","13","1030","50","93","9","73"
"306EAug1808","108","35","27","Munich          ","3","3000","0","0","0","0","0","0","0","0","0","0"
"306EAug1808","109","35","40","Rome            ","4","1485","656","0","2153","21","3","1145","25","41","5","37"
"306EAug1808","110","37","16","Kopenhagen      ","4","0","0","451","2159","91","0","4892","22","106","0","194"
"306EAug1808","111","38","43","Naples          ","3","1243","1067","177","2000","21","2","979","31","82","3","47"
"306EAug1808","112","39","22","Berlin          ","4","0","0","427","2686","0","0","714","16","138","87","0"
"306EAug1808","113","41","29","Vienna          ","6","0","823","220","1774","0","0","895","0","0","7","52"
"306EAug1808","114","43","10","Karlskrona      ","6","0","0","405","63","30","0","0","0","0","29","0"
"306EAug1808","115","52","20","Warsaw          ","2","1685","5106","632","4658","84","2","7741","119","121","51","56"
"306EAug1808","116","58","6","Petersburg      ","4","995","800","205","1018","11","2","1219","38","132","9","72"
"306EAug1808","117","58","40","Istanbul        ","4","0","929","541","1070","17","1","1088","35","30","6","49"
"306EAug1808","118","58","60","Cairo           ","4","1188","0","394","2161","25","2","1157","16","105","8","39"
"306EAug1808","119","69","17","Moscow          ","4","0","1011","119","1354","8","2","1127","60","68","3","48"
"306EAug1808","131","9","84","Vera Cruz       ","5","450","0","245","0","29","7","271","19","78","20","87"
"306EAug1808","132","13","73","New Orleans     ","5","0","0","649","1497","95","8","1953","24","28","38","53"
"306EAug1808","133","22","80","Santiago de Cuba","5","187","400","433","817","16","18","831","22","78","17","69"
"306EAug1808","134","26","92","Cartagena       ","5","4","412","389","644","19","27","689","35","56","39","63"
"306EAug1808","135","35","83","Martinique      ","6","347","23","438","764","43","32","2173","26","51","34","60"
"306EAug1808","136","40","96","Belem           ","2","300","0","388","1626","46","5","1890","31","54","40","0"
"306EAug1808","141","56","79","Goa             ","6","51","0","461","0","35","25","627","0","72","34","19"
"306EAug1808","142","62","88","Trincomale      ","6","266","493","461","1691","86","10","572","24","50","27","68"
"306EAug1808","143","68","75","Calcutta        ","3","300","662","636","2075","28","6","1057","22","65","41","40"
"306EAug1808","144","75","95","Padany          ","5","271","312","395","1355","26","23","1424","24","35","16","83"
"306EAug1808","145","82","88","Saigon          ","3","264","940","477","1644","28","6","1105","38","64","140","77"
"306EAug1808","146","83","75","Haiphong        ","3","335","469","181","0","17","6","252","27","52","32","78"
"306EDec1808","101","5","41","Lisbon          ","6","5057","2748","0","1614","133","3","8009","0","0","10","75"
"306EDec1808","102","5","55","Rabat           ","3","0","0","0","0","0","2","0","0","118","0","0"
"306EDec1808","103","13","41","Madrid          ","2","0","0","0","2809","22","14","549","128","0","42","51"
"306EDec1808","104","23","20","London          ","4","623","835","0","0","28","3","690","0","0","5","0"
"306EDec1808","105","23","27","Paris           ","3","0","0","801","0","22","3","1386","23","71","32","58"
"306EDec1808","106","28","20","Amsterdam       ","3","5435","805","624","487","91","1","4507","35","54","8","49"
"306EDec1808","107","30","49","Tunis           ","3","0","0","0","0","0","13","0","50","76","0","0"
"306EDec1808","108","35","27","Munich          ","2","0","0","0","0","0","0","13000","0","0","0","0"
"306EDec1808","109","35","40","Rome            ","6","4485","656","9000","4877","110","3","6145","75","541","80","37"
"306EDec1808","110","37","16","Kopenhagen      ","5","20004","3750","451","3270","150","0","4892","336","228","63","254"
"306EDec1808","111","38","43","Naples          ","5","1243","317","177","2000","21","2","711","31","82","3","28"
"306EDec1808","112","39","22","Berlin          ","5","2571","2513","427","3886","162","0","2714","16","138","43","0"
"306EDec1808","113","41","29","Vienna          ","4","13288","823","220","1774","0","0","895","0","0","7","52"
"306EDec1808","114","43","10","Karlskrona      ","5","17817","4915","55","5188","66","0","7979","0","0","10","0"
"306EDec1808","115","52","20","Warsaw          ","5","1158","4150","260","4658","84","2","7741","119","121","51","41"
"306EDec1808","116","58","6","Petersburg      ","6","995","800","205","1018","8","2","1219","38","132","9","72"
"306EDec1808","117","58","40","Istanbul        ","2","0","929","541","1070","0","1","1088","35","30","0","0"
"306EDec1808","118","58","60","Cairo           ","2","0","0","394","2161","0","2","1157","16","105","0","0"
"306EDec1808","119","69","17","Moscow          ","6","0","1011","119","645","8","2","782","60","68","2","48"
"306EDec1808","131","9","84","Vera Cruz       ","4","450","0","166","0","29","33","271","19","68","20","46"
"306EDec1808","132","13","73","New Orleans     ","2","0","0","407","0","122","8","0","24","28","38","32"
"306EDec1808","133","22","80","Santiago de Cuba","4","187","400","433","817","16","18","831","17","78","17","69"
"306EDec1808","134","26","92","Cartagena       ","4","4","363","389","331","19","27","689","35","56","39","63"
"306EDec1808","135","35","83","Martinique      ","5","347","23","438","468","43","50","2173","26","51","48","81"
"306EDec1808","136","40","96","Belem           ","2","300","0","388","1126","46","5","1890","31","54","40","0"
"306EDec1808","141","56","79","Goa             ","4","51","0","461","0","163","50","627","0","0","89","19"
"306EDec1808","142","62","88","Trincomale      ","4","266","493","461","1691","174","27","572","24","43","14","68"
"306EDec1808","143","68","75","Calcutta        ","6","300","162","356","2175","45","6","1057","0","65","41","40"
"306EDec1808","144","75","95","Padany          ","4","0","0","0","0","0","0","0","0","0","0","0"
"306EDec1808","145","82","88","Saigon          ","6","264","940","477","1644","45","6","742","38","64","63","77"
"306EDec1808","146","83","75","Haiphong        ","4","335","469","110","0","17","5","252","27","38","32","58"
"306EFeb1808","101","5","41","Lisbon          ","6","535","1204","0","1089","3","3","2509","29","116","10","100"
"306EFeb1808","102","5","55","Rabat           ","6","0","0","578","1588","0","2","837","0","118","10","0"
"306EFeb1808","103","13","41","Madrid          ","5","1010","1199","0","2690","28","14","1067","128","208","94","78"
"306EFeb1808","104","23","20","London          ","4","725","835","499","0","28","3","1175","0","0","5","77"
"306EFeb1808","105","23","27","Paris           ","5","1275","1285","801","1789","22","3","932","30","92","84","72"
"306EFeb1808","106","28","20","Amsterdam       ","3","979","805","624","2477","28","1","643","35","54","8","77"
"306EFeb1808","107","30","49","Tunis           ","6","997","1248","649","1778","20","2","1030","50","93","9","73"
"306EFeb1808","108","35","27","Munich          ","2","0","985","467","0","0","0","930","0","0","6","83"
"306EFeb1808","109","35","40","Rome            ","3","1485","906","428","2153","21","3","1145","40","41","5","97"
"306EFeb1808","110","37","16","Kopenhagen      ","6","775","2000","451","1159","74","1","1028","22","106","12","101"
"306EFeb1808","111","38","43","Naples          ","6","1482","1067","177","2000","28","2","979","45","82","9","76"
"306EFeb1808","112","39","22","Berlin          ","5","1456","1243","427","2686","22","2","1092","21","138","87","106"
"306EFeb1808","113","41","29","Vienna          ","4","0","1022","389","1774","0","0","895","0","0","7","52"
"306EFeb1808","114","43","10","Karlskrona      ","2","562","0","405","1012","21","2","705","34","146","5","70"
"306EFeb1808","115","52","20","Warsaw          ","6","1685","3221","1082","2414","24","2","3798","55","119","25","31"
"306EFeb1808","116","58","6","Petersburg      ","3","995","800","205","1018","11","2","1219","38","132","9","72"
"306EFeb1808","117","58","40","Istanbul        ","3","975","929","541","1070","22","1","1088","35","51","6","64"
"306EFeb1808","118","58","60","Cairo           ","4","1188","919","394","2161","25","2","1157","26","105","8","39"
"306EFeb1808","119","69","17","Moscow          ","3","756","1011","426","1354","8","2","1127","60","68","8","48"
"306EFeb1808","131","9","84","Vera Cruz       ","5","491","280","245","1572","29","7","604","26","78","13","87"
"306EFeb1808","132","13","73","New Orleans     ","2","462","236","344","1309","29","8","779","32","28","11","53"
"306EFeb1808","133","22","80","Santiago de Cuba","5","330","400","433","1817","22","9","392","22","78","10","69"
"306EFeb1808","134","26","92","Cartagena       ","5","386","412","389","644","21","19","689","35","73","15","63"
"306EFeb1808","135","35","83","Martinique      ","3","0","273","438","1514","0","7","467","35","51","0","60"
"306EFeb1808","136","40","96","Belem           ","6","252","633","388","1626","23","5","701","31","54","40","74"
"306EFeb1808","141","56","79","Goa             ","3","380","181","461","924","26","17","627","32","72","34","79"
"306EFeb1808","142","62","88","Trincomale      ","3","331","493","461","1691","25","10","572","33","50","14","68"
"306EFeb1808","143","68","75","Calcutta        ","2","300","553","439","1558","27","7","800","22","74","13","54"
"306EFeb1808","144","75","95","Padany          ","5","271","312","395","1355","26","8","543","24","43","11","83"
"306EFeb1808","145","82","88","Saigon          ","2","264","668","477","1350","25","6","401","38","64","10","77"
"306EFeb1808","146","83","75","Haiphong        ","5","335","719","181","1505","21","6","357","27","52","14","78"
"306EFeb1809","101","5","41","Lisbon          ","5","5057","2548","0","4614","133","3","8009","0","0","10","75"
"306EFeb1809","102","5","55","Rabat           ","2","0","0","0","0","0","2","0","0","118","0","0"
"306EFeb1809","103","13","41","Madrid          ","3","0","0","0","2809","22","14","542","128","0","19","51"
"306EFeb1809","104","23","20","London          ","6","2124","835","0","0","25","3","690","0","0","5","0"
"306EFeb1809","105","23","27","Paris           ","3","0","0","801","0","22","3","1386","23","71","32","58"
"306EFeb1809","106","28","20","Amsterdam       ","3","5435","544","624","338","91","1","4507","35","54","8","49"
"306EFeb1809","107","30","49","Tunis           ","2","0","0","0","0","0","13","0","50","76","0","0"
"306EFeb1809","108","35","27","Munich          ","4","0","0","0","0","0","0","0","0","0","0","0"
"306EFeb1809","109","35","40","Rome            ","4","4485","4799","9517","5877","110","3","11145","75","741","80","37"
"306EFeb1809","110","37","16","Kopenhagen      ","5","21817","3750","451","7270","197","0","4892","336","175","46","187"
"306EFeb1809","111","38","43","Naples          ","4","1243","317","177","2000","21","2","711","31","82","3","28"
"306EFeb1809","112","39","22","Berlin          ","5","2571","2513","427","7886","162","0","2714","16","138","43","0"
"306EFeb1809","113","41","29","Vienna          ","2","0","0","0","0","0","0","0","0","0","0","0"
"306EFeb1809","114","43","10","Karlskrona      ","2","19572","4915","55","5188","66","0","7979","0","0","10","0"
"306EFeb1809","115","52","20","Warsaw          ","2","1158","4150","260","6658","84","2","7741","119","121","51","41"
"306EFeb1809","116","58","6","Petersburg      ","6","995","800","205","1018","7","2","1219","38","132","9","72"
"306EFeb1809","117","58","40","Istanbul        ","5","0","929","541","1070","0","1","1088","35","30","0","0"
"306EFeb1809","118","58","60","Cairo           ","5","0","0","394","2161","0","2","1157","16","105","0","0"
"306EFeb1809","119","69","17","Moscow          ","6","0","1011","119","645","8","2","1736","60","68","36","148"
"306EFeb1809","131","9","84","Vera Cruz       ","4","0","0","166","0","29","33","271","19","68","3","46"
"306EFeb1809","132","13","73","New Orleans     ","4","0","0","0","0","122","8","0","24","28","13","32"
"306EFeb1809","133","22","80","Santiago de Cuba","4","0","0","433","817","12","18","612","17","78","17","69"
"306EFeb1809","134","26","92","Cartagena       ","4","0","0","389","331","19","27","689","35","56","39","63"
"306EFeb1809","135","35","83","Martinique      ","3","347","23","438","188","43","50","2173","26","51","96","81"
"306EFeb1809","136","40","96","Belem           ","6","300","0","388","0","62","5","1890","31","54","62","0"
"306EFeb1809","141","56","79","Goa             ","4","51","0","461","0","163","65","627","0","0","68","19"
"306EFeb1809","142","62","88","Trincomale      ","4","211","493","315","1691","174","24","572","24","43","59","41"
"306EFeb1809","143","68","75","Calcutta        ","2","300","162","356","2175","96","6","4283","0","65","41","40"
"306EFeb1809","144","75","95","Padany          ","6","1024","0","0","0","20","0","0","0","0","10","0"
"306EFeb1809","145","82","88","Saigon          ","2","264","940","477","1644","96","6","4656","38","64","63","77"
"306EFeb1809","146","83","75","Haiphong        ","5","335","469","110","0","17","5","252","27","38","32","58"
"306EJan1808","101","5","41","Lisbon          ","5","535","1204","624","1089","26","3","909","29","116","10","100"
"306EJan1808","102","5","55","Rabat           ","4","1076","913","578","1588","20","2","837","44","118","10","93"
"306EJan1808","103","13","41","Madrid          ","5","1010","1199","567","2301","28","2","1067","44","106","6","78"
"306EJan1808","104","23","20","London          ","4","725","835","499","1171","28","3","1175","24","116","5","77"
"306EJan1808","105","23","27","Paris           ","6","1275","1126","476","1789","22","3","707","39","92","6","72"
"306EJan1808","106","28","20","Amsterdam       ","2","979","970","624","2477","28","1","643","35","54","8","77"
"306EJan1808","107","30","49","Tunis           ","6","997","1248","649","1778","20","2","1030","50","93","9","73"
"306EJan1808","108","35","27","Munich          ","3","1145","985","467","1965","29","1","930","57","111","6","83"
"306EJan1808","109","35","40","Rome            ","3","1485","906","428","2153","21","3","1145","40","41","5","97"
"306EJan1808","110","37","16","Kopenhagen      ","5","775","1089","451","1159","23","1","1028","22","106","10","101"
"306EJan1808","111","38","43","Naples          ","6","1482","1067","177","2000","28","2","979","45","82","9","76"
"306EJan1808","112","39","22","Berlin          ","6","1456","1090","427","2261","22","2","1092","21","138","5","106"
"306EJan1808","113","41","29","Vienna          ","2","868","1022","389","1774","23","2","895","40","42","7","52"
"306EJan1808","114","43","10","Karlskrona      ","3","562","1026","405","1012","29","2","705","34","146","7","70"
"306EJan1808","115","52","20","Warsaw          ","6","1439","976","420","1292","24","2","947","23","85","10","31"
"306EJan1808","116","58","6","Petersburg      ","3","995","800","399","1018","25","2","1013","38","132","9","57"
"306EJan1808","117","58","40","Istanbul        ","2","1143","929","541","1070","22","1","1088","35","51","6","64"
"306EJan1808","118","58","60","Cairo           ","2","1188","919","394","2161","25","2","1157","26","105","8","39"
"306EJan1808","119","69","17","Moscow          ","3","907","1011","426","1354","28","2","1127","60","68","5","48"
"306EJan1808","131","9","84","Vera Cruz       ","5","491","280","245","1572","29","7","604","26","78","13","87"
"306EJan1808","132","13","73","New Orleans     ","3","462","286","344","1309","29","8","779","32","40","11","53"
"306EJan1808","133","22","80","Santiago de Cuba","5","330","491","433","1817","22","9","392","22","78","10","69"
"306EJan1808","134","26","92","Cartagena       ","5","386","412","389","1242","21","7","689","35","73","15","63"
"306EJan1808","135","35","83","Martinique      ","2","362","273","438","1514","29","7","467","35","51","13","60"
"306EJan1808","136","40","96","Belem           ","6","252","633","388","1626","23","5","701","31","54","13","74"
"306EJan1808","141","56","79","Goa             ","3","380","466","461","1674","26","8","627","32","72","11","79"
"306EJan1808","142","62","88","Trincomale      ","3","331","493","461","1691","25","10","572","33","50","14","68"
