"ItemNo","TurnId","WarehouseName","Inhabitants","Foreign","Money","Citizens","EcPts","Food","Stone","Wood","Ore","Zinc","Horses","Textiles","Wool","Gold","Wine"
"1","306EAug1808","110730","1110730","19584","7334316","57101","17266","11776","6410","2597","0","0","6945","195","0","11","0"
"2","306EAug1808","261217","261217","0","1741677","25004","610","963","679","4020","34","26","1972","68","28","62","101"
"3","306EAug1808"," 43446","43446","0","408709","2946","305","293","289","1543","38","5","845","42","25","94","109"
"1","306EDec1808","145321","1145321","41256","6081900","13940","29623","8981","10656","10933","12","0","6945","1060","165","11","189"
"2","306EDec1808","310311","310311","0","2264884","50506","610","149","6500","5951","73","64","1972","68","28","150","86"
"3","306EDec1808"," 44699","44699","0","2042051","2834","305","210","3263","903","116","5","845","42","25","130","109"
"1","306EFeb1808","049797","1049797","0","6676583","47745","4038","11393","1039","2727","84","0","6945","161","0","11","35"
"2","306EFeb1808","186781","186781","0","3119717","25248","426","1626","679","689","34","4","1972","68","28","23","156"
"3","306EFeb1808"," 22000","22000","0","744439","5834","305","261","289","678","14","5","845","42","25","52","109"
"1","306EFeb1809","231312","1231312","45250","5909849","90663","42799","7250","16222","9243","32","0","6952","1123","270","34","155"
"2","306EFeb1809","236829","236829","0","1542570","61323","1251","967","8791","5895","73","17","1972","68","28","62","86"
"3","306EFeb1809"," 63833","63833","0","1720916","5543","305","266","4633","903","161","12","845","42","25","142","109"
"1","306EFebr1808","049797","1049797","0","6676583","47745","4038","11393","1039","2727","84","0","6945","161","0","11","35"
"2","306EFebr1808","186781","186781","0","3119717","25248","426","1626","679","689","34","4","1972","68","28","23","156"
"3","306EFebr1808"," 22000","22000","0","744439","5834","305","261","289","678","14","5","845","42","25","52","109"
"1","306EJan1808","042078","1042078","0","9878499","58214","6245","12480","1679","3246","68","9","6945","216","109","35","50"
"2","306EJan1808","188251","188251","0","1845144","18451","426","1850","679","689","34","16","1972","68","28","23","156"
"3","306EJan1808"," 22000","22000","0","1278439","5974","305","300","289","678","14","5","845","42","25","43","109"
"1","306EJan1809","147582","1147582","42919","5896831","36526","37236","7856","16462","11595","21","0","6945","1241","87","30","172"
