"TurnId","ItemNo","Type","Name","X","Y","FleetNo","MP","Condition","Age","Marines","Brigade1","Brigade2"
"306EAug1808","1049","25","S. TRINIDAD    ","18","41","11","20","100","17","1100","4293","478"
"306EAug1808","1050","23","SANTA ANA      ","18","41","11","20","100","15","950","4581","600"
"306EAug1808","1051","23","RAYO           ","7","34","0","20","100","13","950","0","0"
"306EAug1808","1052","21","NEPTUNO        ","18","41","11","25","100","23","800","4581","197"
"306EAug1808","1053","19","SAN AUGUSTIN   ","18","41","11","30","100","16","700","4371","478"
"306EAug1808","1054","19","MONTANEZ       ","26","92","21","29","97","10","700","0","0"
"306EAug1808","1055","19","SAN JUSTO      ","7","34","0","30","100","18","700","0","0"
"306EAug1808","1056","19","BAHAMA         ","18","41","11","30","100","13","700","4383","500"
"306EAug1808","1057","19","MONARCO        ","90","84","31","22","74","14","700","0","0"
"306EAug1808","1058","17","SAN LEANDRO    ","7","34","0","30","100","21","600","0","0"
"306EAug1808","1059","17","SAN JUAN       ","18","41","11","30","100","16","600","4383","138"
"306EAug1808","1060","17","MONARCA        ","18","41","11","30","100","9","600","4539","400"
"306EAug1808","1061","15","CISNEROS       ","26","92","21","34","97","10","500","0","0"
"306EAug1808","1062","15","S.F. DE ASIS   ","18","41","11","34","96","8","500","4539","397"
"306EAug1808","1063","15","SAN OMBLIGOS   ","18","41","11","35","100","9","500","4552","400"
"306EAug1808","1064","13","CORDEZ         ","90","84","31","31","77","12","450","0","0"
"306EAug1808","1065","13","VESPUCCIO      ","18","41","11","40","100","14","450","4552","300"
"306EAug1808","1066","13","SANCHEZ        ","90","84","0","35","88","18","450","0","0"
"306EAug1808","1067","13","ARGONAUTA      ","26","92","12","36","91","20","450","0","0"
"306EAug1808","1068","11","LEONARDO       ","90","84","31","30","75","17","400","0","0"
"306EAug1808","1069","11","PHILLIPE       ","90","84","31","30","75","11","400","0","0"
"306EAug1808","1070","11","SAN ILDEFONSO  ","26","92","12","37","92","11","400","0","0"
"306EAug1808","1071","11","CORDOBA        ","18","41","11","40","100","13","400","4552","97"
"306EAug1808","1072","7","SAN JUSTO      ","18","41","11","44","97","12","350","4350","200"
"306EAug1808","1073","7","ESPANIA        ","26","92","21","43","96","13","350","0","0"
"306EAug1808","1074","5","LAREDO         ","26","92","21","44","97","14","250","0","0"
"306EAug1808","1075","1","CADEZ          ","24","77","0","46","92","17","250","0","0"
"306EAug1808","1076","1","MATRODIAS      ","83","75","0","37","75","15","250","0","0"
"306EDec1808","1069","11","PHILLIPE       ","90","84","31","30","75","15","400","4130","250"
"306EFeb1808","1049","25","S. TRINIDAD    ","18","41","0","20","100","11","1100","0","0"
"306EFeb1808","1050","23","SANTA ANA      ","18","41","0","20","100","9","950","0","0"
"306EFeb1808","1051","23","RAYO           ","7","34","0","20","100","7","950","0","0"
"306EFeb1808","1052","21","NEPTUNO        ","18","41","0","25","100","17","800","0","0"
"306EFeb1808","1053","19","SAN AUGUSTIN   ","18","41","0","30","100","10","700","0","0"
"306EFeb1808","1054","19","MONTANEZ       ","22","80","21","30","100","4","700","4161","500"
"306EFeb1808","1055","19","SAN JUSTO      ","7","34","0","30","100","12","700","0","0"
"306EFeb1808","1056","19","BAHAMA         ","18","41","0","30","100","7","700","0","0"
"306EFeb1808","1057","19","MONARCO        ","90","84","31","30","100","8","700","4128","500"
"306EFeb1808","1058","17","SAN LEANDRO    ","7","34","0","30","100","15","600","0","0"
"306EFeb1808","1059","17","SAN JUAN       ","18","41","0","30","100","10","600","0","0"
"306EFeb1808","1060","17","MONARCA        ","18","41","0","30","100","3","600","0","0"
"306EFeb1808","1061","15","CISNEROS       ","22","80","21","35","100","4","500","4161","400"
"306EFeb1808","1062","15","S.F. DE ASIS   ","18","41","11","35","100","2","500","0","0"
"306EFeb1808","1063","15","SAN OMBLIGOS   ","18","41","0","35","100","3","500","0","0"
"306EFeb1808","1064","13","CORDEZ         ","90","84","31","40","100","6","450","4128","300"
"306EFeb1808","1065","13","VESPUCCIO      ","18","41","0","40","100","8","450","0","0"
"306EFeb1808","1066","13","SANCHEZ        ","18","41","0","40","100","12","450","0","0"
"306EFeb1808","1067","13","ARGONAUTA      ","7","34","0","40","100","14","450","0","0"
"306EFeb1808","1068","11","LEONARDO       ","90","84","31","40","100","11","400","4128","250"
"306EFeb1808","1069","11","PHILLIPE       ","90","84","31","40","100","5","400","4128","250"
"306EFeb1808","1070","11","SAN ILDEFONSO  ","7","34","0","40","100","5","400","0","0"
"306EFeb1808","1071","11","CORDOBA        ","18","41","0","40","100","7","400","0","0"
"306EFeb1808","1072","7","SAN JUSTO      ","18","41","0","45","100","6","350","0","0"
"306EFeb1808","1073","7","ESPANIA        ","22","80","21","45","100","7","350","4161","200"
"306EFeb1808","1074","5","LAREDO         ","22","80","21","45","100","8","250","4161","150"
"306EFeb1808","1075","1","CADEZ          ","22","80","0","50","100","11","250","0","0"
"306EFeb1808","1076","1","MATRODIAS      ","7","34","0","50","100","9","250","0","0"
"306EFeb1809","1054","19","MONTANEZ       ","84","98","21","23","78","16","700","4134","500"
"306EFeb1809","1061","15","CISNEROS       ","84","98","21","28","80","16","500","4134","400"
"306EFeb1809","1073","7","ESPANIA        ","84","98","21","36","81","19","350","4134","200"
"306EFeb1809","1074","5","LAREDO         ","84","98","21","36","81","20","250","4134","150"
"306EFeb1809","1076","1","MATRODIAS      ","84","75","0","37","75","21","250","0","0"
"306EJan1808","1049","25","S. TRINIDAD    ","18","41","0","20","100","10","1100","0","0"
"306EJan1808","1050","23","SANTA ANA      ","18","41","0","20","100","8","950","0","0"
"306EJan1808","1051","23","RAYO           ","7","34","0","20","100","6","950","0","0"
"306EJan1808","1052","21","NEPTUNO        ","18","41","0","25","100","16","800","0","0"
"306EJan1808","1053","19","SAN AUGUSTIN   ","18","41","0","30","100","9","700","0","0"
"306EJan1808","1054","19","MONTANEZ       ","22","80","0","30","100","3","700","0","0"
"306EJan1808","1055","19","SAN JUSTO      ","7","34","0","30","100","11","700","0","0"
"306EJan1808","1056","19","BAHAMA         ","18","41","0","30","100","6","700","0","0"
"306EJan1808","1057","19","MONARCO        ","90","84","0","30","100","7","700","0","0"
"306EJan1808","1058","17","SAN LEANDRO    ","7","34","0","30","100","14","600","0","0"
"306EJan1808","1059","17","SAN JUAN       ","18","41","0","30","100","9","600","0","0"
"306EJan1808","1060","17","MONARCA        ","18","41","0","30","100","2","600","0","0"
"306EJan1808","1061","15","CISNEROS       ","22","80","0","35","100","3","500","0","0"
"306EJan1808","1062","15","S.F. DE ASIS   ","18","41","0","35","100","1","500","0","0"
"306EJan1808","1063","15","SAN OMBLIGOS   ","18","41","0","35","100","2","500","0","0"
"306EJan1808","1064","13","CORDEZ         ","90","84","0","40","100","5","450","0","0"
"306EJan1808","1065","13","VESPUCCIO      ","18","41","0","40","100","7","450","0","0"
"306EJan1808","1066","13","SANCHEZ        ","18","41","0","40","100","11","450","0","0"
"306EJan1808","1067","13","ARGONAUTA      ","7","34","0","40","100","13","450","0","0"
"306EJan1808","1068","11","LEONARDO       ","90","84","0","40","100","10","400","0","0"
"306EJan1808","1069","11","PHILLIPE       ","90","84","0","40","100","4","400","0","0"
"306EJan1808","1070","11","SAN ILDEFONSO  ","7","34","0","40","100","4","400","0","0"
"306EJan1808","1071","11","CORDOBA        ","18","41","0","40","100","6","400","0","0"
"306EJan1808","1072","7","SAN JUSTO      ","18","41","0","45","100","5","350","0","0"
"306EJan1808","1073","7","ESPANIA        ","22","80","0","45","100","6","350","0","0"
"306EJan1808","1074","5","LAREDO         ","22","80","0","45","100","7","250","0","0"
"306EJan1808","1075","1","CADEZ          ","22","80","0","50","100","10","250","0","0"
"306EJan1808","1076","1","MATRODIAS      ","7","34","0","50","100","8","250","0","0"
"306EJan1809","1069","11","PHILLIPE       ","84","74","31","30","74","16","400","0","0"
"306EJul1808","1049","25","S. TRINIDAD    ","18","41","13","20","100","16","1100","0","0"
"306EJul1808","1050","23","SANTA ANA      ","18","41","13","20","100","14","950","0","0"
"306EJul1808","1051","23","RAYO           ","7","34","0","20","100","12","950","0","0"
"306EJul1808","1052","21","NEPTUNO        ","18","41","13","25","100","22","800","0","0"
"306EJul1808","1053","19","SAN AUGUSTIN   ","18","41","0","30","100","15","700","0","0"
"306EJul1808","1054","19","MONTANEZ       ","26","92","21","29","97","9","700","0","0"
"306EJul1808","1055","19","SAN JUSTO      ","7","34","0","30","100","17","700","0","0"
"306EJul1808","1056","19","BAHAMA         ","18","41","13","30","100","12","700","0","0"
"306EJul1808","1057","19","MONARCO        ","90","84","31","22","74","13","700","0","0"
"306EJul1808","1058","17","SAN LEANDRO    ","7","34","0","30","100","20","600","0","0"
"306EJul1808","1059","17","SAN JUAN       ","18","41","0","30","100","15","600","0","0"
"306EJul1808","1060","17","MONARCA        ","18","41","0","30","100","8","600","0","0"
"306EJul1808","1061","15","CISNEROS       ","26","92","21","34","97","9","500","0","0"
"306EJul1808","1062","15","S.F. DE ASIS   ","18","41","11","34","96","7","500","0","0"
"306EJul1808","1063","15","SAN OMBLIGOS   ","18","41","0","35","100","8","500","0","0"
"306EJul1808","1064","13","CORDEZ         ","90","84","31","31","77","11","450","0","0"
"306EJul1808","1065","13","VESPUCCIO      ","18","41","0","40","100","13","450","0","0"
"306EJul1808","1066","13","SANCHEZ        ","90","84","0","35","88","17","450","0","0"
"306EJul1808","1067","13","ARGONAUTA      ","26","92","12","36","91","19","450","0","0"
"306EJul1808","1068","11","LEONARDO       ","90","84","31","30","75","16","400","0","0"
"306EJul1808","1069","11","PHILLIPE       ","90","84","31","30","75","10","400","0","0"
"306EJul1808","1070","11","SAN ILDEFONSO  ","26","92","12","37","92","10","400","0","0"
"306EJul1808","1071","11","CORDOBA        ","18","41","11","40","100","12","400","0","0"
"306EJul1808","1072","7","SAN JUSTO      ","18","41","11","44","97","11","350","0","0"
"306EJul1808","1073","7","ESPANIA        ","26","92","21","43","96","12","350","0","0"
"306EJul1808","1074","5","LAREDO         ","26","92","21","44","97","13","250","0","0"
"306EJul1808","1075","1","CADEZ          ","28","81","0","47","95","16","250","0","0"
"306EJul1808","1076","1","MATRODIAS      ","83","75","0","37","75","14","250","0","0"
"306EJun1808","1049","25","S. TRINIDAD    ","18","41","13","20","100","15","1100","0","0"
"306EJun1808","1050","23","SANTA ANA      ","18","41","13","20","100","13","950","0","0"
"306EJun1808","1051","23","RAYO           ","7","34","0","20","100","11","950","0","0"
"306EJun1808","1052","21","NEPTUNO        ","18","41","13","25","100","21","800","0","0"
"306EJun1808","1053","19","SAN AUGUSTIN   ","18","41","0","30","100","14","700","0","0"
"306EJun1808","1054","19","MONTANEZ       ","26","92","21","29","97","8","700","0","0"
"306EJun1808","1055","19","SAN JUSTO      ","7","34","0","30","100","16","700","0","0"
"306EJun1808","1056","19","BAHAMA         ","18","41","13","30","100","11","700","0","0"
"306EJun1808","1057","19","MONARCO        ","90","84","31","22","74","12","700","0","0"
"306EJun1808","1058","17","SAN LEANDRO    ","7","34","0","30","100","19","600","0","0"
"306EJun1808","1059","17","SAN JUAN       ","18","41","0","30","100","14","600","0","0"
"306EJun1808","1060","17","MONARCA        ","18","41","0","30","100","7","600","0","0"
"306EJun1808","1061","15","CISNEROS       ","26","92","21","34","97","8","500","0","0"
"306EJun1808","1062","15","S.F. DE ASIS   ","18","41","11","34","96","6","500","0","0"
"306EJun1808","1063","15","SAN OMBLIGOS   ","18","41","0","35","100","7","500","0","0"
"306EJun1808","1064","13","CORDEZ         ","90","84","31","31","77","10","450","0","0"
"306EJun1808","1065","13","VESPUCCIO      ","18","41","0","40","100","12","450","0","0"
"306EJun1808","1066","13","SANCHEZ        ","90","84","0","35","88","16","450","0","0"
"306EJun1808","1067","13","ARGONAUTA      ","22","80","12","37","93","18","450","4215","300"
"306EJun1808","1068","11","LEONARDO       ","90","84","31","30","75","15","400","0","0"
"306EJun1808","1069","11","PHILLIPE       ","90","84","31","30","75","9","400","0","0"
"306EJun1808","1070","11","SAN ILDEFONSO  ","22","80","12","38","94","9","400","4215","250"
"306EJun1808","1071","11","CORDOBA        ","18","41","0","40","100","11","400","0","0"
"306EJun1808","1072","7","SAN JUSTO      ","18","41","11","44","97","10","350","0","0"
"306EJun1808","1073","7","ESPANIA        ","26","92","21","43","96","11","350","0","0"
"306EJun1808","1074","5","LAREDO         ","26","92","21","44","97","12","250","0","0"
"306EJun1808","1075","1","CADEZ          ","28","81","0","47","95","15","250","0","0"
"306EJun1808","1076","1","MATRODIAS      ","83","75","0","37","75","13","250","0","0"
"306EMar1808","1049","25","S. TRINIDAD    ","18","41","13","20","100","12","1100","0","0"
"306EMar1808","1050","23","SANTA ANA      ","18","41","13","20","100","10","950","0","0"
"306EMar1808","1051","23","RAYO           ","7","34","0","20","100","8","950","0","0"
"306EMar1808","1052","21","NEPTUNO        ","18","41","13","25","100","18","800","0","0"
"306EMar1808","1053","19","SAN AUGUSTIN   ","18","41","0","30","100","11","700","0","0"
"306EMar1808","1054","19","MONTANEZ       ","16","87","21","30","99","5","700","0","0"
"306EMar1808","1055","19","SAN JUSTO      ","7","34","0","30","100","13","700","0","0"
"306EMar1808","1056","19","BAHAMA         ","18","41","13","30","100","8","700","0","0"
"306EMar1808","1057","19","MONARCO        ","84","75","31","29","98","9","700","0","0"
"306EMar1808","1058","17","SAN LEANDRO    ","7","34","0","30","100","16","600","0","0"
"306EMar1808","1059","17","SAN JUAN       ","18","41","0","30","100","11","600","0","0"
"306EMar1808","1060","17","MONARCA        ","18","41","0","30","100","4","600","0","0"
"306EMar1808","1061","15","CISNEROS       ","16","87","21","35","99","5","500","0","0"
"306EMar1808","1062","15","S.F. DE ASIS   ","18","41","11","35","100","3","500","4304","400"
"306EMar1808","1063","15","SAN OMBLIGOS   ","18","41","0","35","100","4","500","0","0"
"306EMar1808","1064","13","CORDEZ         ","84","75","31","40","99","7","450","0","0"
"306EMar1808","1065","13","VESPUCCIO      ","18","41","0","40","100","9","450","0","0"
"306EMar1808","1066","13","SANCHEZ        ","51","87","0","39","97","13","450","0","0"
"306EMar1808","1067","13","ARGONAUTA      ","7","34","12","40","100","15","450","4215","300"
"306EMar1808","1068","11","LEONARDO       ","84","75","31","39","98","12","400","0","0"
"306EMar1808","1069","11","PHILLIPE       ","84","75","31","39","98","6","400","0","0"
"306EMar1808","1070","11","SAN ILDEFONSO  ","7","34","12","40","100","6","400","4215","250"
