"TurnId","OrderNo","ItemNo","Direction1","Distance1","Direction2","Distance2","Direction3","Distance3"
"306EAug1808","1","","","","","","",""
"306EAug1808","2","","","","","","",""
"306EAug1808","3","","","","","","",""
"306EAug1808","4","","","","","","",""
"306EAug1808","5","","","","","","",""
"306EAug1808","6","","","","","","",""
"306EAug1808","7","","","","","","",""
"306EAug1808","8","","","","","","",""
"306EAug1808","9","","","","","","",""
"306EAug1808","10","","","","","","",""
"306EAug1808","11","","","","","","",""
"306EAug1808","12","","","","","","",""
"306EAug1808","13","","","","","","",""
"306EAug1808","14","","","","","","",""
"306EAug1808","15","","","","","","",""
"306EAug1808","16","","","","","","",""
"306EAug1808","17","","","","","","",""
"306EAug1808","18","","","","","","",""
"306EAug1808","19","","","","","","",""
"306EAug1808","20","","","","","","",""
"306EAug1808","21","","","","","","",""
"306EAug1808","22","","","","","","",""
"306EAug1808","23","","","","","","",""
"306EAug1808","24","","","","","","",""
"306EAug1808","25","","","","","","",""
"306EAug1808","26","","","","","","",""
"306EAug1808","27","","","","","","",""
"306EAug1808","28","","","","","","",""
"306EAug1808","29","","","","","","",""
"306EAug1808","30","","","","","","",""
"306EDec1808","1","","","","","","",""
"306EDec1808","2","","","","","","",""
"306EDec1808","3","","","","","","",""
"306EDec1808","4","","","","","","",""
"306EDec1808","5","","","","","","",""
"306EDec1808","6","","","","","","",""
"306EDec1808","7","","","","","","",""
"306EDec1808","8","","","","","","",""
"306EDec1808","9","","","","","","",""
"306EDec1808","10","","","","","","",""
"306EDec1808","11","","","","","","",""
"306EDec1808","12","","","","","","",""
"306EDec1808","13","","","","","","",""
"306EDec1808","14","","","","","","",""
"306EDec1808","15","","","","","","",""
"306EDec1808","16","","","","","","",""
"306EDec1808","17","","","","","","",""
"306EDec1808","18","","","","","","",""
"306EDec1808","19","","","","","","",""
"306EDec1808","20","","","","","","",""
"306EDec1808","21","","","","","","",""
"306EDec1808","22","","","","","","",""
"306EDec1808","23","","","","","","",""
"306EDec1808","24","","","","","","",""
"306EDec1808","25","","","","","","",""
"306EDec1808","26","","","","","","",""
"306EDec1808","27","","","","","","",""
"306EDec1808","28","","","","","","",""
"306EDec1808","29","","","","","","",""
"306EDec1808","30","","","","","","",""
"306EFeb1808","1","","","","","","",""
"306EFeb1808","2","","","","","","",""
"306EFeb1808","3","","","","","","",""
"306EFeb1808","4","","","","","","",""
"306EFeb1808","5","","","","","","",""
"306EFeb1808","6","","","","","","",""
