"TurnId","OrderNo","State","ShipNumber","X","Y"
"306EAug1808","1","","","",""
"306EAug1808","2","","","",""
"306EAug1808","3","","","",""
"306EAug1808","4","","","",""
"306EAug1808","5","","","",""
"306EAug1808","6","","","",""
"306EDec1808","1","","","",""
"306EDec1808","2","","","",""
"306EDec1808","3","","","",""
"306EDec1808","4","","","",""
"306EDec1808","5","","","",""
"306EDec1808","6","","","",""
"306EFeb1808","1","","","",""
"306EFeb1808","2","","","",""
"306EFeb1808","3","","","",""
"306EFeb1808","4","","","",""
"306EFeb1808","5","","","",""
"306EFeb1808","6","","","",""
"306EJan1808","1","","","",""
"306EJan1808","2","","","",""
"306EJan1808","3","","","",""
"306EJan1808","4","","","",""
"306EJan1808","5","","","",""
"306EJan1808","6","","","",""
"306EJan1809","1","","","",""
"306EJan1809","2","","","",""
"306EJan1809","3","","","",""
"306EJan1809","4","","","",""
"306EJan1809","5","","","",""
"306EJan1809","6","","","",""
"306EJul1808","1","","","",""
"306EJul1808","2","","","",""
"306EJul1808","3","","","",""
"306EJul1808","4","","","",""
"306EJul1808","5","","","",""
"306EJul1808","6","","","",""
"306EJun1808","1","","","",""
"306EJun1808","2","","","",""
"306EJun1808","3","","","",""
"306EJun1808","4","","","",""
"306EJun1808","5","","","",""
"306EJun1808","6","","","",""
"306EMar1808","1","","","",""
"306EMar1808","2","","","",""
"306EMar1808","3","","","",""
"306EMar1808","4","","","",""
"306EMar1808","5","","","",""
"306EMar1808","6","","","",""
"306EOct1808","1","","","",""
"306EOct1808","2","","","",""
"306EOct1808","3","","","",""
"306EOct1808","4","","","",""
"306EOct1808","5","","","",""
"306EOct1808","6","","","",""
"307EApr1808","1","","","",""
"307EApr1808","2","","","",""
"307EApr1808","3","","","",""
"307EApr1808","4","","","",""
"307EApr1808","5","","","",""
"307EApr1808","6","","","",""
"307EAug1808","1","","","",""
"307EAug1808","2","","","",""
"307EAug1808","3","","","",""
"307EAug1808","4","","","",""
"307EAug1808","5","","","",""
"307EAug1808","6","","","",""
"307EJan1808","1","","","",""
"307EJan1808","2","","","",""
"307EJan1808","3","","","",""
"307EJan1808","4","","","",""
"307EJan1808","5","","","",""
"307EJan1808","6","","","",""
"307EJul1808","1","","","",""
"307EJul1808","2","","","",""
"307EJul1808","3","","","",""
"307EJul1808","4","","","",""
"307EJul1808","5","","","",""
"307EJul1808","6","","","",""
"307EJun1808","1","","","",""
"307EJun1808","2","","","",""
"307EJun1808","3","","","",""
"307EJun1808","4","","","",""
"307EJun1808","5","","","",""
"307EJun1808","6","","","",""
"307EMar1808","1","","","",""
"307EMar1808","2","","","",""
"307EMar1808","3","","","",""
"307EMar1808","4","","","",""
"307EMar1808","5","","","",""
"307EMar1808","6","","","",""
"307EMay1808","1","","","",""
"307EMay1808","2","","","",""
"307EMay1808","3","","","",""
"307EMay1808","4","","","",""
"307EMay1808","5","","","",""
"307EMay1808","6","","","",""
"307EOct1808","1","","","",""
"307EOct1808","2","","","",""
"307EOct1808","3","","","",""
"307EOct1808","4","","","",""
"307EOct1808","5","","","",""
"307EOct1808","6","","","",""
"307ESep1808","1","","","",""
"307ESep1808","2","","","",""
"307ESep1808","3","","","",""
"307ESep1808","4","","","",""
"307ESep1808","5","","","",""
"307ESep1808","6","","","",""
"348BAug1809","1","","","",""
"348BAug1809","2","","","",""
"348BAug1809","3","","","",""
"348BAug1809","4","","","",""
"348BAug1809","5","","","",""
"348BAug1809","6","","","",""
"348BSep1809","1","","","",""
"348BSep1809","2","","","",""
"348BSep1809","3","","","",""
"348BSep1809","4","","","",""
"348BSep1809","5","","","",""
"348BSep1809","6","","","",""
"348EAug1809","1","","","",""
"348EAug1809","2","","","",""
"348EAug1809","3","","","",""
"348EAug1809","4","","","",""
"348EAug1809","5","","","",""
"348EAug1809","6","","","",""
"348ESep1809","1","","","",""
"348ESep1809","2","","","",""
"348ESep1809","3","","","",""
"348ESep1809","4","","","",""
"348ESep1809","5","","","",""
"348ESep1809","6","","","",""
"undefined","1","","","",""
"undefined","2","","","",""
"undefined","3","","","",""
"undefined","4","","","",""
"undefined","5","","","",""
"undefined","6","","","",""
